label,0,1,mean,std,support,tier
Uploading_Attack,0.02127659574468085,0.07446808510638298,0.047872340425531915,0.026595744680851064,188,floored
Recon-PingSweep,0.0,0.0029411764705882353,0.0014705882352941176,0.0014705882352941176,340,floored
Backdoor_Malware,0.004140786749482402,0.037267080745341616,0.020703933747412008,0.016563146997929608,483,floored
XSS,0.02772963604852686,0.03119584055459272,0.029462738301559793,0.00173310225303293,577,floored
SqlInjection,0.04701397712833545,0.06861499364675985,0.05781448538754765,0.0108005082592122,787,floored
CommandInjection,0.0630407911001236,0.018541409147095178,0.04079110012360939,0.022249690976514212,809,floored
BrowserHijacking,0.019562715765247412,0.01611047180667434,0.017836593785960878,0.0017261219792865361,869,floored
DictionaryBruteForce,0.32755102040816325,0.4433673469387755,0.3854591836734694,0.05790816326530612,1960,measurable
DDoS-SlowLoris,0.954183266932271,0.9558907228229937,0.9550369948776323,0.0008537279453613711,3514,robust
DDoS-HTTP_Flood,0.7960175966658949,0.8298217179902755,0.8129196573280852,0.0169020606621903,4319,measurable
DoS-HTTP_Flood,0.8669215704560291,0.8751282290403805,0.8710248997482049,0.0041033292921756614,10723,measurable
Recon-PortScan,0.2467392207360638,0.20121292680900557,0.2239760737725347,0.022763146963529116,12037,measurable
Recon-OSScan,0.11454231433506044,0.1805181347150259,0.14753022452504316,0.032987910189982726,14475,measurable
DDoS-ICMP_Flood,0.997904339250493,0.997904339250493,0.997904339250493,0.0,16224,robust
DDoS-RSTFINFlood,0.9991676080623105,0.9991081514953326,0.9991378797788215,2.972828348896117e-05,16819,robust
DDoS-TCP_Flood,0.6484739049394221,0.5966915191053123,0.6225827120223673,0.02589119291705494,17168,measurable
DDoS-SynonymousIP_Flood,0.34167970787689095,0.7046890395873181,0.5231843737321045,0.18150466585521358,17253,measurable
DDoS-UDP_Flood,0.7421512270616847,0.6878178200309529,0.7149845235463188,0.027166703515365875,18092,measurable
DoS-TCP_Flood,0.41158733577428386,0.5335989661856558,0.47259315097996984,0.06100581520568599,18572,measurable
DDoS-PSHACK_Flood,0.9983433423068958,0.9982915717539863,0.9983174570304411,2.588527645475125e-05,19316,robust
DDoS-SYN_Flood,0.5225642330195879,0.19389468328669549,0.35822945815314167,0.16433477486644618,19655,measurable
Recon-HostDiscovery,0.7047428856714928,0.7121817274088866,0.7084623065401897,0.003719420868696921,20030,measurable
DoS-SYN_Flood,0.16439051397988372,0.19641044569530314,0.18040047983759344,0.01600996585770971,21674,measurable
DoS-UDP_Flood,0.6823112784651246,0.7169625246548323,0.6996369015599785,0.01732562309485386,22308,measurable
DNS_Spoofing,0.612758792239103,0.5719643335501894,0.5923615628946461,0.020397229344456813,26131,measurable
MITM-ArpSpoofing,0.12505002728761141,0.08582863380025468,0.10543933054393305,0.019610696743678366,27485,measurable
Mirai-udpplain,0.9874220374220374,0.9916493416493416,0.9895356895356895,0.002113652113652109,28860,robust
Mirai-greeth_flood,0.9728399253097946,0.9844848073332202,0.9786623663215074,0.005822441011712809,29455,robust
Mirai-greip_flood,0.9839167455061495,0.9848966076496823,0.9844066765779159,0.0004899310717664251,29596,robust
DDoS-UDP_Fragmentation,0.9898242677824268,0.990928870292887,0.9903765690376569,0.0005523012552300921,29875,robust
DDoS-ACK_Fragmentation,0.9651481704461837,0.8943407585791692,0.9297444645126764,0.03540370593350728,29898,robust
VulnerabilityScan,0.6740220661985958,0.7219993313273153,0.6980106987629555,0.023988632564359735,29910,measurable
DDoS-ICMP_Fragmentation,0.9721331194867683,0.9700614808874632,0.9710973001871157,0.0010358192996525184,29928,robust
BenignTraffic,0.6791022343943088,0.7721184997161084,0.7256103670552085,0.04650813266089976,29941,measurable
