label,0,1,2,3,4,mean,std,support,tier,null_band_2sigma,final_tier
Uploading_Attack,0.0212765957446808,0.0744680851063829,0.0,0.0,0.0,0.0191489361702127,0.0288609786515968,188,floored,0.0577,floored
Recon-PingSweep,0.0,0.0029411764705882,0.0029411764705882,0.0029411764705882,0.0,0.0017647058823529,0.0014408763192842,340,floored,0.0029,floored
Backdoor_Malware,0.0041407867494824,0.0372670807453416,0.0,0.0227743271221532,0.0062111801242236,0.0140786749482401,0.0139440647954308,483,floored,0.0279,floored
XSS,0.0277296360485268,0.0311958405545927,0.0034662045060658,0.0138648180242634,0.0034662045060658,0.0159445407279029,0.0117237674352081,577,floored,0.0234,floored
SqlInjection,0.0470139771283354,0.0686149936467598,0.0520965692503176,0.0559085133418043,0.0393900889453621,0.0526048284625158,0.0097302107847911,787,floored,0.0195,floored
CommandInjection,0.0630407911001236,0.0185414091470951,0.0914709517923362,0.0494437577255871,0.0333745364647713,0.0511742892459827,0.0250972734797735,809,floored,0.0502,floored
BrowserHijacking,0.0195627157652474,0.0161104718066743,0.0080552359033371,0.003452243958573,0.0080552359033371,0.0110471806674338,0.0058947058572454,869,floored,0.0118,floored
DictionaryBruteForce,0.3275510204081632,0.4433673469387755,0.4255102040816326,0.3897959183673469,0.3943877551020408,0.3961224489795918,0.0395999886410948,1960,measurable,0.0792,measurable
DDoS-SlowLoris,0.954183266932271,0.9558907228229936,0.933693796243597,0.9257256687535572,0.9299943084803642,0.9398975526465566,0.0126274800062774,3514,robust,0.0253,robust
DDoS-HTTP_Flood,0.7960175966658949,0.8298217179902755,0.7865246584857606,0.8740449178050474,0.8589951377633711,0.82908080574207,0.034121515349022,4319,measurable,0.0682,measurable
DoS-HTTP_Flood,0.8669215704560291,0.8751282290403805,0.8672946003916814,0.8369859181199292,0.8276601697286208,0.8547980975473284,0.0188159309494851,10723,measurable,0.0376,measurable
Recon-PortScan,0.2467392207360638,0.2012129268090055,0.204702168314364,0.1693112901885852,0.2305391708897566,0.210500955387555,0.0265752662510876,12037,measurable,0.0532,measurable
Recon-OSScan,0.1145423143350604,0.1805181347150259,0.1047322970639032,0.194887737478411,0.1041796200345423,0.1397720207253885,0.0395705126178802,14475,measurable,0.0791,measurable
DDoS-ICMP_Flood,0.997904339250493,0.997904339250493,0.997904339250493,0.997904339250493,0.997965976331361,0.9979166666666666,2.465483234717069e-05,16224,robust,0.0,robust
DDoS-RSTFINFlood,0.9991676080623104,0.9991081514953326,0.9991676080623104,0.9992865211962662,0.9990486949283548,0.999155716748915,7.887804959525763e-05,16819,robust,0.0002,robust
DDoS-TCP_Flood,0.6484739049394221,0.5966915191053123,0.4181616961789375,0.4051141658900279,0.3466332712022367,0.4830149114631874,0.1176209735897616,17168,measurable,0.2352,unstable_confusable
DDoS-SynonymousIP_Flood,0.3416797078768909,0.7046890395873181,0.7931953863096273,0.1766069669043065,0.6704341273981337,0.5373210456152553,0.2364711381061513,17253,measurable,0.4729,unstable_confusable
DDoS-UDP_Flood,0.7421512270616847,0.6878178200309529,0.6774817598938757,0.8059363254477117,0.7373424718107451,0.730145920848994,0.0458372885764673,18092,measurable,0.0917,measurable
DoS-TCP_Flood,0.4115873357742838,0.5335989661856558,0.7090781822097781,0.8012599612319621,0.8430971354727547,0.6597243161748869,0.1634461983184657,18572,measurable,0.3269,unstable_confusable
