label,recall,support
Uploading_Attack,0.02127659574468085,188
Recon-PingSweep,0.0,340
Backdoor_Malware,0.004140786749482402,483
XSS,0.02772963604852686,577
SqlInjection,0.04701397712833545,787
CommandInjection,0.0630407911001236,809
BrowserHijacking,0.019562715765247412,869
DictionaryBruteForce,0.32755102040816325,1960
DDoS-SlowLoris,0.954183266932271,3514
DDoS-HTTP_Flood,0.7960175966658949,4319
DoS-HTTP_Flood,0.8669215704560291,10723
Recon-PortScan,0.2467392207360638,12037
Recon-OSScan,0.11454231433506044,14475
DDoS-ICMP_Flood,0.997904339250493,16224
DDoS-RSTFINFlood,0.9991676080623105,16819
DDoS-TCP_Flood,0.6484739049394221,17168
DDoS-SynonymousIP_Flood,0.34167970787689095,17253
DDoS-UDP_Flood,0.7421512270616847,18092
DoS-TCP_Flood,0.41158733577428386,18572
DDoS-PSHACK_Flood,0.9983433423068958,19316
DDoS-SYN_Flood,0.5225642330195879,19655
Recon-HostDiscovery,0.7047428856714928,20030
DoS-SYN_Flood,0.16439051397988372,21674
DoS-UDP_Flood,0.6823112784651246,22308
DNS_Spoofing,0.612758792239103,26131
MITM-ArpSpoofing,0.12505002728761141,27485
Mirai-udpplain,0.9874220374220374,28860
Mirai-greeth_flood,0.9728399253097946,29455
Mirai-greip_flood,0.9839167455061495,29596
DDoS-UDP_Fragmentation,0.9898242677824268,29875
DDoS-ACK_Fragmentation,0.9651481704461837,29898
VulnerabilityScan,0.6740220661985958,29910
DDoS-ICMP_Fragmentation,0.9721331194867683,29928
BenignTraffic,0.6791022343943088,29941
