harm,n_groups,rho_v_c,rho_fisher,difference,ci_low,ci_high,bootstrap_two_sided_p,clearly_better_95pct,B,stratification
harm_awbir,576,0.7537813025896065,0.6395340089920379,0.11424729359756858,0.06191301552700264,0.16606407745421412,0.0,True,5000,module_path
harm_fine_macro_f1,576,0.06101813478009696,0.062374412880215016,-0.0013562781001180552,-0.06318961411070947,0.0614530505977403,0.9992,False,5000,module_path
harm_family_macro_f1,576,0.15775224173008817,0.08248229221611032,0.07526994951397785,0.011269071202897982,0.13944200833261308,0.02,True,5000,module_path
harm_hsr_balanced_soc,576,0.10272902198102801,0.05259956380289714,0.05012945817813087,-0.014288785511940443,0.11450007944003784,0.1256,False,5000,module_path
