budget,metric,method,full,minimal,none,rank_full,rank_minimal,rank_none
0.25,awbir,fisher,0.1043184099569139,0.0958566235451516,0.124302451088565,1.0,1.0,2.0
0.25,awbir,magnitude,0.1219618637658456,0.1159859229806742,0.5159833937117294,5.0,4.0,5.0
0.25,awbir,random,0.1192996755219499,0.1350249347059044,0.3597875755846723,4.0,5.0,4.0
0.25,awbir,saber_v2,0.1127004665046305,0.0994175962265534,0.0926037615120113,3.0,2.0,1.0
0.25,awbir,taylor,0.1075229806099892,0.1139916089211554,0.3055229943400536,2.0,3.0,3.0
0.25,family_macro_f1,fisher,0.5939216954918505,0.6134223097124052,0.5226692012748391,5.0,2.0,1.0
0.25,family_macro_f1,magnitude,0.6849537124686789,0.5912758326120205,0.1152147480104865,1.0,5.0,5.0
0.25,family_macro_f1,random,0.6726117084439752,0.6020981776587316,0.2494778381308791,2.0,3.0,4.0
0.25,family_macro_f1,saber_v2,0.5944312391497049,0.6266868419888287,0.5120399150707157,4.0,1.0,2.0
0.25,family_macro_f1,taylor,0.6720588877251523,0.5924812092912709,0.3583829609066503,3.0,4.0,3.0
0.25,fine_macro_f1,fisher,0.547447050546734,0.5437541876013774,0.4841940826242297,4.0,2.0,2.0
0.25,fine_macro_f1,magnitude,0.5589701850173854,0.526623320613389,0.0159826225590134,2.0,4.0,5.0
0.25,fine_macro_f1,random,0.5563512210964272,0.5487695618433345,0.1717792552540692,3.0,1.0,4.0
0.25,fine_macro_f1,saber_v2,0.5338317272840802,0.538866007027207,0.5135666223736917,5.0,3.0,1.0
0.25,fine_macro_f1,taylor,0.5807213912482281,0.5028266314117653,0.2913429371170924,1.0,5.0,3.0
0.25,hsr_balanced_soc,fisher,0.1571738342803771,0.1465521353547454,0.1460190476884058,3.0,2.0,2.0
0.25,hsr_balanced_soc,magnitude,0.1657188945713542,0.1514562505803336,0.4949587894831707,4.0,3.0,5.0
0.25,hsr_balanced_soc,random,0.172731327821605,0.1566615020764565,0.3454502751919425,5.0,4.0,4.0
0.25,hsr_balanced_soc,saber_v2,0.1552650599996722,0.1435742726940044,0.139315397458002,2.0,1.0,1.0
0.25,hsr_balanced_soc,taylor,0.1494353239763824,0.1571996875756709,0.2732980975980104,1.0,5.0,3.0
0.4,awbir,fisher,0.1167347990745847,0.0990239822787122,0.1445856771308466,4.0,1.0,1.0
0.4,awbir,magnitude,0.1275171180699343,0.1270542476810073,0.5507866495268183,5.0,5.0,5.0
0.4,awbir,random,0.1031286269585888,0.1204400946289915,0.4925199675821117,2.0,4.0,4.0
0.4,awbir,saber_v2,0.1125283843240577,0.1097694333814749,0.1690249589203792,3.0,2.0,2.0
0.4,awbir,taylor,0.0979460338356522,0.1138096483183178,0.3573467546817248,1.0,3.0,3.0
0.4,family_macro_f1,fisher,0.6294213425162446,0.6138823992296205,0.5055724036994798,4.0,3.0,1.0
0.4,family_macro_f1,magnitude,0.6525746722268574,0.6023916982955071,0.0627433721406027,2.0,4.0,5.0
0.4,family_macro_f1,random,0.6388289201280856,0.6002624482044693,0.1536465084667866,3.0,5.0,4.0
0.4,family_macro_f1,saber_v2,0.6592590444748612,0.6167139679842824,0.4248177017910275,1.0,2.0,2.0
0.4,family_macro_f1,taylor,0.6102789697563398,0.6216907885419153,0.1965414595197888,5.0,1.0,3.0
0.4,fine_macro_f1,fisher,0.5628702552595615,0.5268603630524569,0.4593314385221621,3.0,4.0,1.0
0.4,fine_macro_f1,magnitude,0.5635057486966543,0.5125828938090065,0.0093475391821145,2.0,5.0,5.0
0.4,fine_macro_f1,random,0.5606400881586209,0.538953829165977,0.0969322524147075,4.0,2.0,4.0
