module_path,n,mean_harm_awbir,mean_harm_fine,mean_harm_family,mean_harm_hsr,mean_fisher,mean_v_c,mean_flops
conv.0,64,0.04898237495652793,0.001974910145427369,0.009556001930315338,0.0028534298915940844,200.548324533594,101.84094605221571,31734.0
conv.10,256,0.003586843824617468,9.046186241466223e-05,0.0005109976212172129,8.108228185533384e-05,0.014315090981430969,0.007185504652788565,15428.0
conv.3,128,0.017547413331604807,0.0005355195812923719,0.001203763978069341,8.932009359634826e-05,0.6153049796934965,0.31005602492367595,31104.0
conv.7,128,0.012467222960345761,0.0011491431761723294,0.002792196513657391,0.0009388328594277348,0.10820507204181415,0.05452521208357039,46080.0
