method,score,rho_channel_awbir,rho_channel_fine_harm,rho_channel_family_harm,rho_channel_hsr,architecture,budget,k,sum_individual_harm_awbir,sum_individual_harm_fine_macro_f1,sum_individual_harm_family_macro_f1,sum_individual_harm_hsr_balanced_soc,sum_v_c,sum_fisher,sum_taylor,sum_magnitude,minimal_awbir,minimal_fine_macro_f1,minimal_family_macro_f1,minimal_hsr_balanced_soc,minimal_benign_to_attack_rate,minimal_attack_to_benign_rate,minimal_ece15,minimal_realized,standard_awbir,standard_fine_macro_f1,standard_family_macro_f1,standard_hsr_balanced_soc,standard_benign_to_attack_rate,standard_attack_to_benign_rate,standard_ece15,standard_realized,rank_channel_awbir_validity,rank_minimal_awbir,rank_standard_awbir,rank_minimal_family_f1,rank_standard_family_f1
saber_v2,v_c,0.7537813025896065,0.06101813478009696,0.15775224173008817,0.10272902198102801,DeepCNN1D-4block,0.4,198,0.61827804536285,0.03435364233552329,0.15235349975040352,0.04006871630827456,1.032088553205615,1.1376369992043955,28.433642909263508,380.15896239999995,0.1150555797181287,0.4973566596294221,0.5576641456682077,0.18124871416269,3.34001336005344e-05,0.0884919114291381,0.2131037272862485,0.4009350385773883,0.0856483586756444,0.5162258299806836,0.5862298190685318,0.1848321265427772,0.0,0.0895471517177501,0.2654479691045569,0.4009350385773883,1.0,3.0,3.0,4.0,2.0
fisher,fisher,0.6395340089920379,0.062374412880215016,0.08248229221611032,0.05259956380289714,DeepCNN1D-4block,0.4,165,0.7064859616420038,0.06195491592149149,0.18262739819047422,0.05477163675137435,6.198438710869118,0.07524350365122555,11.944153262585527,303.16912154999994,0.1799054237439119,0.5062553631588194,0.5661093558864159,0.1644349689487358,3.34001336005344e-05,0.0753688045552489,0.2067314369895174,0.401746704009149,0.1918935740656562,0.4897571437760331,0.5626327126446066,0.1805321045128565,0.0001336005344021,0.0879296301074689,0.2535246125173592,0.401746704009149,2.0,4.0,4.0,3.0,3.0
taylor,taylor,0.5679766031195841,0.09861427172029237,0.10977538743626455,0.07940278282559844,DeepCNN1D-4block,0.4,152,0.7253701556217831,0.09636734161879482,0.194928275509019,0.07458088975771371,74.8128885011823,0.1405252355386422,8.081614128488507,280.51684515,0.0340670570227058,0.5527634518359201,0.6282428069184083,0.1715038424915294,3.34001336005344e-05,0.0815500478516809,0.209928449649397,0.4029346298503616,0.0605919094685212,0.5541449132798828,0.5575354788102544,0.1938753179318092,0.1176686706746827,0.053058560059155,0.2612608013997515,0.4029346298503616,3.0,1.0,1.0,1.0,4.0
magnitude,magnitude,-0.4554535578831036,-0.003827141888327934,-0.07331418129756613,-0.02789678071363223,DeepCNN1D-4block,0.4,135,3.798726447914226,0.15466670924053258,0.6665414930798157,0.16452816776257276,5587.495553491351,12682.912368876472,469.7745665300304,128.74627304999999,0.0963499169041643,0.5286356372595078,0.5988862500986334,0.1566312792101272,0.0024716098864395,0.0710727441831804,0.1684882756559315,0.400804165391492,0.0646512855199661,0.570344657000103,0.6724287823551051,0.1771056325591303,0.0006012024048096,0.0837914706544993,0.2500364814623774,0.400804165391492,4.0,2.0,2.0,2.0,1.0
