method,budget,flops_reduction_fraction,realized_minus_nominal,selected_groups,post_awbir,post_family_macro_f1,post_macro_f1
fisher,0.25,0.4766100564794477,0.2266100564794477,61,0.1028559138343151,0.6483962057250102,0.5544542825699846
magnitude,0.25,0.4978663319736429,0.24786633197364288,32,0.108688028162712,0.6296991308435201,0.5407005042813273
random,0.25,0.4375853074992155,0.18758530749921548,45,0.1148177321256593,0.6350902830184809,0.5458905393060106
saber_v2,0.25,0.4892865547536869,0.23928655475368688,63,0.1323413117531463,0.6329431815574433,0.5393786836032912
taylor,0.25,0.4419065735801695,0.1919065735801695,47,0.1070555145156584,0.6354283742591432,0.5680627561033538
fisher,0.4,0.7054577188578601,0.3054577188578601,94,0.1219179741806174,0.5753281235330786,0.5192073176153408
magnitude,0.4,0.8090327894571697,0.4090327894571697,52,0.1173792288117801,0.6255314655444261,0.5599847293897833
random,0.4,0.6567667477251333,0.2567667477251333,71,0.1250328572730438,0.6140571226608595,0.5671815718346815
saber_v2,0.4,0.7528612331346094,0.3528612331346094,99,0.1051217625502441,0.6552167006521349,0.5589311382358662
taylor,0.4,0.6496842641983056,0.24968426419830558,71,0.109620956333702,0.6232036512148721,0.5438272711822183
fisher,0.55,0.8580561656730468,0.3080561656730467,122,0.112011405459112,0.6043405809133423,0.5374258644988188
magnitude,0.55,0.944330483213053,0.394330483213053,81,0.1175037983730679,0.6055500916440233,0.5313029059211939
random,0.55,0.8186931283338563,0.2686931283338563,96,0.1308540094107025,0.6146062836423858,0.5506909369672652
saber_v2,0.55,0.9666996783809224,0.41669967838092237,133,0.1631528656279602,0.5243465140545391,0.4837986442782525
taylor,0.55,0.8141767336052714,0.2641767336052714,97,0.1041416363916951,0.6532338869197948,0.5586332749313387
