architecture,method,budget,n_removed,sum_individual_harm_awbir,sum_individual_harm_fine_macro_f1,sum_individual_harm_family_macro_f1,sum_individual_harm_hsr_balanced_soc,sum_v_c,sum_fisher,sum_taylor,sum_magnitude,set_awbir_raw,set_hsr_raw,set_fine_macro_f1_raw,set_family_macro_f1_raw,set_benign_to_attack_raw
CNN1D-2block,random,0.25,24,2.680860734475137,0.7339663897339752,0.5425762246344602,0.2533025294710023,9.487402382389117,11.368350221846718,29.832158934398464,193.47185846883804,0.3597875755846723,0.3454502751919425,0.1717792552540692,0.2494778381308791,0.9093186372745492
CNN1D-2block,random,0.4,40,4.259965141926866,1.1836003794277623,0.8526961768711385,0.3805580238137544,15.343922274064454,17.32624135114297,48.636426585520525,334.9332010457292,0.4925199675821117,0.456161004127424,0.0969322524147075,0.1536465084667866,0.9999665998663996
CNN1D-2block,random,0.55,56,6.5180013425344665,2.0981787248141006,1.5697166170263996,0.8177714590367856,22.30956070515529,57.65451655716396,79.39353053018677,440.7623392662499,0.5002726167340309,0.4172365012116456,0.0308676739621816,0.1584752593118925,1.0
CNN1D-2block,magnitude,0.25,17,3.2260059551101796,1.1523973310180708,1.084399152235663,0.5814821396836676,9.406203694005534,11.811388021680523,14.933249270473606,13.059426468797028,0.5159833937117294,0.4949587894831707,0.0159826225590134,0.1152147480104865,1.0
CNN1D-2block,magnitude,0.4,26,5.029352350184227,2.1241627100636853,1.77525637058231,1.0161364848054018,14.771556159082674,21.836410473375963,25.074914855627142,22.283435442717746,0.5507866495268183,0.5072777026252019,0.0093475391821145,0.0627433721406027,1.0
CNN1D-2block,magnitude,0.55,36,7.220900182499863,2.9829006040762502,2.6414243697559487,1.5346365736626968,22.606317708504946,34.256435401235734,37.98020065918172,33.9311087236274,0.5044291671407305,0.5029514631690678,0.0091884415811752,0.0661411505691205,1.0
CNN1D-2block,taylor,0.25,25,1.970133804404215,1.0637976598011882,0.8810552646296013,0.5961969077661268,3.11452808458633,0.3740471151027653,3.9548033527630864,219.11838553100824,0.3055229943400536,0.2732980975980104,0.2913429371170924,0.3583829609066503,0.8949899799599198
CNN1D-2block,taylor,0.4,42,3.5181743602055997,1.8543024032766064,1.5448312235756692,0.9701202535394813,6.548166341382418,1.068089133442524,9.24547748543482,375.86988177057356,0.3573467546817248,0.3987845309902722,0.1540721833510214,0.1965414595197888,0.9991649966599866
CNN1D-2block,taylor,0.55,59,5.3299956140692135,2.201777589299668,1.8126443844087068,1.1059652864166802,12.484354165173933,3.438754699456107,18.604068277062648,482.82231953321025,0.3406351357628996,0.5313030607024449,0.0279117334612757,0.077249102326327,0.9998997995991984
CNN1D-2block,fisher,0.25,32,0.8453983858030985,0.185958476960478,0.1163381371939328,0.07479414726615655,0.6744902453213134,0.031074829358839474,5.478328552768834,415.4411213523708,0.124302451088565,0.1460190476884058,0.4841940826242297,0.5226692012748391,0.6090180360721443
CNN1D-2block,fisher,0.4,51,1.5067591683741595,0.25260944556616904,0.10759557869755002,0.08815828446182054,1.4350407291187546,0.11380463464690277,14.602663765614308,662.5370685379021,0.1445856771308466,0.1582334552565029,0.4593314385221621,0.5055724036994798,0.621376085504342
CNN1D-2block,fisher,0.55,72,2.749498630788232,0.45872266204753,0.3357219538942859,0.2665837331911607,2.734887092540805,0.3671963862697465,31.0988784311553,931.1708899070509,0.2534273159475522,0.3294612865109522,0.2538789935867572,0.3086171291014199,0.8231128924515698
CNN1D-2block,saber_v2,0.25,32,0.6410845911494425,0.05831506799417878,0.059384589320951704,0.039618506012676816,0.2875355694734278,0.252971532579428,14.100291416964499,413.364566097036,0.0926037615120113,0.139315397458002,0.5135666223736917,0.5120399150707157,0.7045090180360721
CNN1D-2block,saber_v2,0.4,52,1.2733495281276361,0.10255677999151028,0.08127992668335911,0.05316035779870856,0.7487692036952684,0.8582407606642756,35.29216074348205,671.7872970821336,0.1690249589203792,0.1918999076928118,0.4045311783063265,0.4248177017910275,0.9872077488309952
CNN1D-2block,saber_v2,0.55,72,1.9759305867563397,0.17546836550965828,0.1325155736575466,0.09475741958414766,1.425387876226795,1.817965790633747,60.14103491788992,940.7902326253243,0.2020244174849102,0.2355402701487293,0.3141698826303703,0.4037766737578288,0.9439879759519038
