budget,regime,n_methods,awbir_spread,family_macro_f1_spread,fine_macro_f1_spread,hsr_spread,ece_spread,best_awbir_method,best_family_f1_method,best_fine_f1_method
0.25,full,5,0.017643453808931703,0.09103201697682839,0.04688966396414784,0.023296003845222596,0.0597929821294651,fisher,magnitude,taylor
0.25,minimal,5,0.0391683111607528,0.03541100937680819,0.04594293043156916,0.013625414881666492,0.06416246627812519,fisher,saber_v2,random
0.25,none,5,0.4233796321997181,0.4074544532643526,0.49758399981467827,0.3556433920251687,0.8428287637575046,saber_v2,fisher,saber_v2
0.4,full,5,0.02957108423428209,0.048980074718521394,0.015093136556957987,0.027552694295707003,0.0528310820045782,taylor,saber_v2,saber_v2
0.4,minimal,5,0.028030265402295085,0.021428340337446006,0.028494832664324066,0.01472909569906758,0.031522120193497705,fisher,taylor,saber_v2
0.4,none,5,0.40620097239597175,0.44282903155887704,0.4499838993400476,0.349044247368699,0.8201884975945448,fisher,fisher,fisher
0.55,full,5,0.012392828638451009,0.041771901979844483,0.03723531186473383,0.022504747356864696,0.034388843702353095,fisher,saber_v2,taylor
0.55,minimal,5,0.0504268871250458,0.03816508288052667,0.023847109469150918,0.008981289132694803,0.0497202964242766,taylor,taylor,saber_v2
0.55,none,5,0.3024047496558203,0.33763552318870826,0.3049814410491951,0.2957627905537156,0.7272558163994093,saber_v2,saber_v2,saber_v2
