module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,56,8,"4,8,17,27,36,49,51,59",conv.2,conv.3,conv_in
conv.3,64,56,128,110,18,"4,10,20,21,33,34,44,58,60,64,71,75,85,90,96,99,111,123",conv.5,head,linear_in
