prefix_length,realised_reduction
0,0.0
11,0.1711415516159398
14,0.21781652023846876
16,0.24893316598682147
17,0.2644914888609978
18,0.2800498117351742
23,0.35784142610605585
46,0.7156828522121117
92,0.950003922183872
184,0.997454502667085
