epoch,train_loss,val_n,val_fine_accuracy,val_fine_macro_f1,val_binary_accuracy,val_binary_balanced_accuracy,val_binary_attack_recall,val_binary_attack_f1,val_family_accuracy,val_family_macro_f1,val_exact_attack_type_rate,val_attack_to_benign_rate,val_benign_to_attack_rate,val_same_family_attack_substitution_rate,val_cross_family_attack_substitution_rate,val_ece15,val_nll,val_brier,val_hsr_miss_sensitive,val_hsr_balanced_soc,val_hsr_alert_fatigue,val_awbir
1,0.5726574656305413,549253.0,0.6952551920517502,0.5366174546168809,0.9339867055801243,0.9635166919005981,0.9303733971612496,0.9638348720485792,0.8319699664817488,0.6003087899224018,0.6778782737963425,0.06962660283875043,0.0033400133600534404,0.14459680385432291,0.10789831951058418,0.15235793060148367,0.873266018781021,0.4303266153953879,0.13967091061253498,0.15449346658097451,0.1311983730630511,0.10780179327182296
2,0.5233269288843371,549253.0,0.2578629520457785,0.11684353033103745,0.9454641121668885,0.49998652065324767,0.9999730413064953,0.9719676721394934,0.5072744254469251,0.15219080532702817,0.27272954846114,2.6958693504687923e-05,1.0,0.26379081594337134,0.46345267690198394,0.3662288992273738,3.767854514466764,1.0037279681464721,0.2743165110917312,0.34552783507782386,0.3235079280404477,0.1688836382563126
3,0.5113768157910868,549253.0,0.6775019890651485,0.5227566389950153,0.9264273476885879,0.9607938205398003,0.9222222436180108,0.9595193207340016,0.8115422218904585,0.5950950499705034,0.6589455684721931,0.07777775638198928,0.0006346025384101537,0.1417680666572953,0.12150860848852234,0.2014195115486638,1.0821754064939804,0.477449394016683,0.1533293096866714,0.16929793738040574,0.14311564980072936,0.1176992650488617
4,0.508620456926113,549253.0,0.6515230686040859,0.48920420261459735,0.9289343890702463,0.962292720393439,0.9248526418556824,0.9609517321272617,0.8075495263567063,0.5681433796179003,0.6314477010974114,0.07514735814431758,0.0002672010688042752,0.16502186542605327,0.12838307533221777,0.21319640683934996,1.2060013566215344,0.5166753876960657,0.1577515279843715,0.17509599401368767,0.1487531246984541,0.13181514234381345
