module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,46,18,"4,8,15,17,25,27,28,32,35,36,38,43,47,49,50,51,58,59",conv.2,conv.3,conv_in
conv.3,64,46,128,80,48,"3,4,6,9,10,11,12,19,20,21,24,26,30,33,34,38,43,44,47,48,50,58,60,62,63,64,66,69,71,75,81,82,85,88,90,92,96,98,99,104,106,108,110,111,119,123,125,127",conv.5,head,linear_in
