architecture,method,score_column,target_flops,realised_flops,flops_absolute_error,within_1p5_points,prefix_length,parameters,checkpoint,checkpoint_sha256,removed_groups,pre_n,pre_fine_accuracy,pre_fine_macro_f1,pre_binary_accuracy,pre_binary_balanced_accuracy,pre_binary_attack_recall,pre_binary_attack_f1,pre_family_accuracy,pre_family_macro_f1,pre_exact_attack_type_rate,pre_attack_to_benign_rate,pre_benign_to_attack_rate,pre_same_family_attack_substitution_rate,pre_cross_family_attack_substitution_rate,pre_ece15,pre_nll,pre_brier,pre_hsr_miss_sensitive,pre_hsr_balanced_soc,pre_hsr_alert_fatigue,pre_awbir,post_n,post_fine_accuracy,post_fine_macro_f1,post_binary_accuracy,post_binary_balanced_accuracy,post_binary_attack_recall,post_binary_attack_f1,post_family_accuracy,post_family_macro_f1,post_exact_attack_type_rate,post_attack_to_benign_rate,post_benign_to_attack_rate,post_same_family_attack_substitution_rate,post_cross_family_attack_substitution_rate,post_ece15,post_nll,post_brier,post_hsr_miss_sensitive,post_hsr_balanced_soc,post_hsr_alert_fatigue,post_awbir,archive_macro_f1_difference,archive_awbir_difference
CNN1D-2block,random,random,0.25,0.24663868842171321,0.0033613115782867853,True,26,22920,results/saber/17b_calibrated_checkpoint_freeze/random_r25cal_checkpoint.pt,c9ade45b6b37eedfcdd26c9fe0614e15d74c5f3385a39047a8d074000685c1e0,results/saber/17b_calibrated_checkpoint_freeze/random_r25cal_removed_groups.csv,549253.0,0.3916446519181507,0.2734792704329636,0.9465273744522106,0.513264505079826,0.9995417022104203,0.9724876348920863,0.5534353021285273,0.29004383861246047,0.4126682752020458,0.00045829778957969474,0.9730126920507682,0.17111838140004199,0.41575504560833254,0.269787299275797,3.0440122036431148,0.8417544868963743,0.23720428776295563,0.30047027508270324,0.28229012859283426,0.3705331499033213,549253.0,0.6577223975108011,0.542118147023129,0.9182125541417161,0.9560561882356674,0.9135819823497583,0.9547973821483772,0.8009150610010323,0.6309023193509209,0.6380737628366707,0.08641801765024176,0.0014696058784235137,0.1514481632464429,0.12406005626664458,0.237601708228766,1.3640709747034894,0.5326577924755485,0.16424155474192523,0.1807724309198129,0.15273325771547902,0.13469734063872002,-0.014233074073298213,0.015397665116770126
CNN1D-2block,random,random,0.4,0.3997813382491371,0.00021866175086293627,True,43,18728,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_checkpoint.pt,eb043306a8d2b2ee546303e270be3c09b90edd363cb25fcf77508de803c0482c,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.17755751903039219,0.09113479850242655,0.9453020739076528,0.5158426711704124,0.9978510070034835,0.9718286218501421,0.40427999482934096,0.21161830983506436,0.18584360491649546,0.0021489929965165517,0.9661656646626586,0.23979372748226985,0.5722136746047182,0.47263117761775564,6.592434707065107,1.1941588319947847,0.3234964882607226,0.40358923847480127,0.37014709068498486,0.4303153632029778,549253.0,0.7023684895667388,0.5207710792070477,0.9447394916368231,0.9596505360241228,0.9429149665038233,0.969939228751852,0.8511378180911164,0.6065923273627893,0.6865705268306397,0.057085033496176676,0.023613894455577822,0.1573463402610757,0.09899809941210792,0.11022934558285687,0.8291001536436291,0.40789065476296327,0.1258908311227552,0.14066049707511838,0.12102054972844936,0.11104188790267491,-0.03986900895157319,0.007913260944086106
CNN1D-2block,random,random,0.55,0.5479506589268905,0.0020493410731095008,True,66,14310,results/saber/17b_calibrated_checkpoint_freeze/random_r55cal_checkpoint.pt,00a762adcfd990d32ae2032d91d84a8870464c3e43cc8990c165826c1e12cdfa,results/saber/17b_calibrated_checkpoint_freeze/random_r55cal_removed_groups.csv,549253.0,0.13947488680080036,0.057382179300156634,0.9434195170531613,0.49934592765851604,0.9977566515762171,0.9708845923589973,0.24597771882902777,0.12210363252199581,0.14746212784967833,0.0022433484237829593,0.999064796259185,0.11264304956740925,0.7376514741591295,0.5952441911665549,9.88984302822762,1.400836930646585,0.38220728880861826,0.47456236015096864,0.426177735943181,0.5011469644877449,549253.0,0.6888100747742844,0.5360033639787198,0.9374787210993841,0.9669370880374648,0.9338741760749297,0.9658065531133562,0.8293427618966123,0.6243011346902714,0.6708690134851236,0.06612582392507024,0.0,0.14863483101713226,0.1143703315726739,0.17661159051125286,0.9191566500591515,0.4390291480016907,0.1400113730223898,0.15550939184674456,0.1321915401463442,0.1143065150600418,-0.006532548140193106,-0.0009945728009006921
CNN1D-2block,magnitude,magnitude,0.25,0.24893316598682147,0.0010668340131785303,True,16,23490,results/saber/17b_calibrated_checkpoint_freeze/magnitude_r25cal_checkpoint.pt,9d52c808f89e3360054ca23879f1d13b36b1b4925688b93d0f686275433ca7c6,results/saber/17b_calibrated_checkpoint_freeze/magnitude_r25cal_removed_groups.csv,549253.0,0.06586400074282707,0.013514484351235517,0.9453821827099715,0.4999431941815437,0.9998863883630874,0.9719243767237837,0.20577948595638076,0.0970387392377688,0.0696612640161136,0.0001136116369126134,1.0,0.14798204551012586,0.782243078836848,0.8922661015278349,20.365668597417784,1.8049286521050711,0.4068556142008631,0.5045583729173988,0.45238077898527634,0.524183776838779,549253.0,0.684225666496132,0.5528134212862809,0.914314532647068,0.9543252933757181,0.9094187898242486,0.9525387526736849,0.8089750989070611,0.6189857422103785,0.6660645891783953,0.09058121017575142,0.0007682030728122912,0.13194162287483657,0.11141257777101671,0.18474077294507088,1.0412357097486755,0.46653422633709113,0.15911534999960553,0.173822264056819,0.14617635224568643,0.1171657404073058,-0.00615676373110452,-0.0047961233585397944
CNN1D-2block,magnitude,magnitude,0.4,0.4045163947285849,0.004516394728584894,True,26,19590,results/saber/17b_calibrated_checkpoint_freeze/magnitude_r40cal_checkpoint.pt,1b4530900a14921702be659b2ede12e6926d5e048754c3bc4d452a28c85cb73e,results/saber/17b_calibrated_checkpoint_freeze/magnitude_r40cal_removed_groups.csv,549253.0,0.07702461342951245,0.009347539182114506,0.9454896013312627,0.5,1.0,0.9719811410806632,0.19329343672223911,0.06274337214060274,0.08146532052923766,0.0,1.0,0.12297208042163396,0.7955625990491284,0.8983359845027084,23.857669902010787,1.8113979018466253,0.40910381918715055,0.5072777026252019,0.45386224563179445,0.5507866495268183,549253.0,0.684331264462825,0.5446992611421093,0.9211365254263518,0.9579644187655707,0.9166302403367526,0.9564817270674093,0.8179054097110074,0.6359839932260621,0.666172423952414,0.0833697596632474,0.0007014028056112224,0.14127510769035245,0.1091827086939861,0.18175939623250686,0.9305469283932796,0.4462037495421308,0.15271271466276318,0.1675016795538668,0.14142881331553947,0.11038532145769599,-0.01880648755454495,-0.017131796612238306
CNN1D-2block,magnitude,magnitude,0.55,0.5445413005961719,0.005458699403828149,True,35,16080,results/saber/17b_calibrated_checkpoint_freeze/magnitude_r55cal_checkpoint.pt,c3ddc1c55f0bf6e9a7c674b65d1105e40c210446fe642d2ebf4190993a4cead2,results/saber/17b_calibrated_checkpoint_freeze/magnitude_r55cal_removed_groups.csv,549253.0,0.03819551281467739,0.0037357820130874417,0.9454896013312627,0.5,1.0,0.9719811410806632,0.13756137881814026,0.04984710089007549,0.04039760221677485,0.0,1.0,0.10509461538609663,0.8545077823971285,0.9524571733745871,26.064872991110203,1.9100283311908552,0.4341526885909894,0.5373363459098084,0.4783476831259911,0.48005606358687686,549253.0,0.6786926971723414,0.5414556568645362,0.933535183239782,0.9646313189443294,0.9297302397590663,0.9635722468138439,0.8201229670115593,0.6364279657969802,0.6601952964782318,0.07026976024093369,0.00046760187040748166,0.1495841621526902,0.1199507811281443,0.19312541086837026,1.1323584237883442,0.4766938915507737,0.14672351964091837,0.16278800479924552,0.13816911332300413,0.1230833814102573,-0.004771576775070119,-0.0004263587457487006
CNN1D-2block,taylor,taylor,0.25,0.24397748666457486,0.006022513335425139,True,29,22745,results/saber/17b_calibrated_checkpoint_freeze/taylor_r25cal_checkpoint.pt,536b9ca59ac333189398fc09870a9b2077317c0108e1eb18380a12a9192cf3c2,results/saber/17b_calibrated_checkpoint_freeze/taylor_r25cal_removed_groups.csv,549253.0,0.4724525856026276,0.3408636417973117,0.9400549473557723,0.5264287819743396,0.9906665151844841,0.9689929999990583,0.5999129727102083,0.35929672971926885,0.4961054315990549,0.009333484815515884,0.937808951235805,0.13480887249115658,0.35975221109427263,0.2945329785008077,4.800347574170438,0.8191727656325473,0.21291918296304255,0.2690741789302926,0.25374317482107517,0.18804548894721876,549253.0,0.6999725081155679,0.5314094664174314,0.9316544470398888,0.9636682102287388,0.927737222060684,0.9625026595452453,0.832408744239904,0.5979920239926345,0.6826981030707877,0.07226277793931599,0.0004008016032064128,0.1400715945874646,0.10496752440243168,0.17033016040990426,0.9735005580289212,0.4401506859647486,0.14002472448944295,0.1543714827228982,0.13079091056398418,0.10486883694673473,-0.049311924830796716,-0.002654143663254477
CNN1D-2block,taylor,taylor,0.4,0.40106683401317855,0.0010668340131785303,True,46,18488,results/saber/17b_calibrated_checkpoint_freeze/taylor_r40cal_checkpoint.pt,dad406f4d10ef53b9c9983ebce1c73f8d3fbb2116a2eff69063436aeef9f7548,results/saber/17b_calibrated_checkpoint_freeze/taylor_r40cal_removed_groups.csv,549253.0,0.2261999479292785,0.16018634886087618,0.940074974556352,0.5130941795320175,0.9923206235930931,0.9690531082285598,0.4038521409987747,0.25280135643917867,0.23728849460729848,0.007679376406906817,0.9661322645290581,0.18789439124381635,0.5671377377419784,0.4631729374325184,6.221067359843457,1.1745879867496514,0.31814694988769593,0.39612346222961003,0.3621147267288481,0.2889319269149906,549253.0,0.6984031038519589,0.5584209888389945,0.9303563203114048,0.9629030400732618,0.9263738824177327,0.9617636004510159,0.8214702514141935,0.6397652126579659,0.6810478459041079,0.07362611758226734,0.0005678022712090849,0.13016234910352717,0.11516368741009757,0.15932244946510427,0.871446329291011,0.4249186512045536,0.14457469205144685,0.1595763700881015,0.13477759793756247,0.10020851108040865,0.007496787480645972,0.00226247724475645
CNN1D-2block,taylor,taylor,0.55,0.5535319265767179,0.0035319265767178587,True,67,14135,results/saber/17b_calibrated_checkpoint_freeze/taylor_r55cal_checkpoint.pt,66f863378c0c897d1cd237c7155248fb8eba4c790c322c96d379bd9c94a2158c,results/saber/17b_calibrated_checkpoint_freeze/taylor_r55cal_removed_groups.csv,549253.0,0.061374266503778765,0.028147289292384553,0.9454040305651494,0.500112120470511,0.9998902396050167,0.9719353972254536,0.13113446808665588,0.07124391032091451,0.06489342650771307,0.00010976039498337227,0.9996659986639946,0.0737820928804016,0.8612147202169019,0.8194960322567383,22.58823007727998,1.7186351656154435,0.4324883068458434,0.5353128703894198,0.4756620355282538,0.336429846565846,549253.0,0.6861755875707551,0.5496593449295534,0.91813972795779,0.9561435738669186,0.9134895525434564,0.9547545827060708,0.8132354306667419,0.6326957213615455,0.668151962304044,0.08651044745654354,0.0012024048096192384,0.13438523587894005,0.11095235436047239,0.1703563992724241,0.8175067635293983,0.422454825934278,0.15543990352958167,0.1701886016098228,0.14336544361159612,0.11231631412834121,-0.030111879054093404,-0.0022300992071504905
CNN1D-2block,fisher,fisher,0.25,0.2480702855349859,0.0019297144650141096,True,32,22402,results/saber/17b_calibrated_checkpoint_freeze/fisher_r25cal_checkpoint.pt,d33201e0148019aba5334db7cc8f02ff0bf46d48a7f0faea4f2e7a79604ecebb,results/saber/17b_calibrated_checkpoint_freeze/fisher_r25cal_removed_groups.csv,549253.0,0.6632207743972268,0.47973787843986293,0.9469169945362156,0.6856203933851712,0.9788894173648648,0.9721223571887526,0.8346936657605876,0.5228824474873645,0.6788372330367235,0.021110582635135267,0.6076486305945223,0.18135883368989414,0.11869335063824707,0.059651024442416115,0.9343133343396284,0.42659222243308514,0.11293110825066044,0.1414623133601455,0.13949728085235766,0.1576215134343861,549253.0,0.6905906749712791,0.5510297941210004,0.9345474671963557,0.965166641572494,0.9308008850153954,0.9641469466562416,0.8309667857981659,0.6383800559222248,0.6727792294820272,0.06919911498460465,0.00046760187040748166,0.1484692276141749,0.10955242791919324,0.17536579919261983,1.0637912722073664,0.4643605440366822,0.14061977510060633,0.15566596814218586,0.13223268694026252,0.11100899344637417,0.003582743574266356,0.006690583489460278
