module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,60,4,"8,17,37,45",conv.2,conv.3,conv_in
conv.3,64,60,128,103,25,"0,2,7,19,22,24,30,37,45,48,49,54,55,56,63,70,72,82,91,94,97,110,124,126,127",conv.5,head,linear_in
