module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,64,0,,conv.2,conv.3,conv_in
conv.3,64,64,128,96,32,"0,2,7,12,19,22,24,30,36,37,40,45,48,49,53,54,55,56,63,70,72,76,82,90,91,94,97,110,111,124,126,127",conv.5,head,linear_in
