module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,48,16,"1,2,3,5,8,16,20,21,22,28,36,39,40,42,45,61",conv.2,conv.3,conv_in
conv.3,64,48,128,128,0,,conv.5,head,linear_in
