architecture,method,regime,recovery_seed,epoch,train_loss,val_n,val_fine_accuracy,val_fine_macro_f1,val_binary_accuracy,val_binary_balanced_accuracy,val_binary_attack_recall,val_binary_attack_f1,val_family_accuracy,val_family_macro_f1,val_exact_attack_type_rate,val_attack_to_benign_rate,val_benign_to_attack_rate,val_same_family_attack_substitution_rate,val_cross_family_attack_substitution_rate,val_ece15,val_nll,val_brier,val_hsr_miss_sensitive,val_hsr_balanced_soc,val_hsr_alert_fatigue,val_awbir,val_teacher_correction_fine,val_teacher_degradation_fine,val_net_teacher_correction_fine,val_teacher_correction_family,val_teacher_degradation_family,val_net_teacher_correction_family,val_teacher_correction_binary,val_teacher_degradation_binary,val_net_teacher_correction_binary
shallow,random,minimal_ce,101,1,0.7711324767909263,549253.0,0.6545981542203684,0.4992190607475828,0.9399985070632295,0.9553021185389858,0.938125947164812,0.9672834199329308,0.8270177859747694,0.6026608858114592,0.6362713816137859,0.06187405283518803,0.02752171008684035,0.18236015659149685,0.11949440895952923,0.11196673357540135,0.7796802915446215,0.41948094565895133,0.14410329423174142,0.16167376418517515,0.13927552512230248,0.12301275277534107,0.08175649473011526,0.18257342244830707,-0.10081692771819181,0.07552621469523152,0.10393570904482997,-0.028409494349598455,0.04176945779085412,0.05085816554483999,-0.009088707753985868
shallow,random,minimal_ce,211,1,0.7717188598143975,549253.0,0.7113588819724244,0.5396771805004331,0.9420157923579844,0.9566521831671089,0.9402248740162484,0.9684169815250052,0.8375575554434842,0.5897587322039626,0.6962698796294335,0.05977512598375161,0.026920507682030727,0.13347441716267452,0.11048057722414036,0.07066991666304158,0.6640932577569618,0.33987145262501933,0.13014585263985815,0.1453119054424828,0.12414970878629702,0.13012518718954816,0.0839540248300874,0.12801022479622323,-0.04405619996613583,0.07755260326297717,0.09542232814386084,-0.017869724880883675,0.038801790795862746,0.045873213255093734,-0.007071422459230987
shallow,random,minimal_ce,307,1,0.7753677060856572,549253.0,0.6708893715646523,0.5207441031759621,0.9398437514223864,0.9592962290343403,0.9374635335529825,0.9671793903935076,0.8283759943049924,0.6108704995619734,0.653003102175374,0.0625364664470175,0.018871075484301936,0.16656621343967895,0.11789421793792954,0.09984181276112772,0.7358548464062923,0.3939509711818681,0.1413663952070661,0.15812275945693516,0.13556193593844731,0.12378018843311793,0.08388483995535755,0.16841055032926538,-0.08452571037390784,0.08005418268084107,0.10710546870021648,-0.027051286019375412,0.04088279900155302,0.050126262396381994,-0.009243463394828975
shallow,random,minimal_ce,401,1,0.7703921785496632,549253.0,0.7026488703748546,0.5370737010289276,0.9438710393935036,0.955823502572018,0.9424085281901281,0.9694653237444275,0.8307737964107615,0.5988111430163734,0.6872791553456201,0.05759147180987189,0.030761523046092185,0.13551172414324308,0.11961764870126494,0.08290345191630953,0.6984456599716105,0.36323181490998113,0.13277411927351027,0.14894156244936305,0.12741213976072957,0.1195652655689951,0.08624258765996727,0.13900879922367287,-0.0527662115637056,0.07887986046503159,0.1035333443786379,-0.024653483913606306,0.040178205672067334,0.045394381095779174,-0.00521617542371184
shallow,random,minimal_ce,503,1,0.7747065858860067,549253.0,0.7176929393194029,0.5525666563230397,0.9497171613081767,0.9651470405326272,0.947829151205535,0.9727110501572044,0.840801961937395,0.6100330976329313,0.7024280154742901,0.05217084879446499,0.01753507014028056,0.13020663838571342,0.1151944973455315,0.05758474040361284,0.6793393624149447,0.34344429010911953,0.12454172606552294,0.13987142537227834,0.1194968438952541,0.1298515795496365,0.08777922014080942,0.1255013627599667,-0.03772214261915728,0.07920211632890489,0.09382743471587775,-0.014625318386972855,0.040373015714069836,0.039743069223108475,0.0006299464909613611
shallow,random,full_ce,101,1,0.5869317344551381,549253.0,0.7041454484545373,0.5297325743631186,0.9340012708169095,0.9646260023267136,0.9302540086614431,0.9638380904117569,0.8202449508696357,0.5851694461419286,0.6871462874990613,0.0697459913385569,0.001002004008016032,0.12279299767192425,0.12031472349045759,0.14373705122596123,0.83657527583533,0.41061372951160113,0.14218584149745198,0.1574505737792966,0.13290796773071792,0.10678644064631498,0.09049745745585368,0.14176709093987652,-0.051269633484022845,0.08056396596832426,0.11574629542305641,-0.03518232945473215,0.042344784643870856,0.057430728644176726,-0.01508594400030587
shallow,random,full_ce,101,2,0.5258121619017783,549253.0,0.6973944612045815,0.5213559141278742,0.932553850411377,0.9638448307369589,0.9287250656155344,0.9630157650979441,0.8168767398630503,0.5843673430639612,0.6800080105832128,0.07127493438446562,0.0010354041416165665,0.12637080142418927,0.12234625360813228,0.1623234627998939,0.9447432086000297,0.44184482348081666,0.14515608775312408,0.16072629553229567,0.1357032187352641,0.11858701019203714,0.08848745477949142,0.14650807551347012,-0.05802062073397869,0.08175649473011526,0.12030703519143272,-0.038550540461317465,0.043089432374515936,0.05962279678035441,-0.016533364405838476
shallow,random,full_ce,101,3,0.5105040946613291,549253.0,0.6717487205349811,0.5161347857866383,0.9196545125834542,0.9570075812134726,0.9150839667021623,0.9556286196911197,0.806400693305271,0.5712897373626216,0.6528856392965321,0.08491603329783771,0.0010688042752171009,0.14241507530140782,0.1197832521042223,0.2101232247728732,1.101096334016877,0.48543370230939636,0.15937069680699664,0.1752048691586573,0.1478453463158144,0.12004146792632094,0.08194038084452884,0.1656067422481079,-0.08366636140357905,0.08116478198571514,0.13019136900481199,-0.049026587019096846,0.04146176716376606,0.0708944693975272,-0.029432702233761134
shallow,random,full_ce,101,4,0.501634591304616,549253.0,0.6729139394777999,0.5353692804928909,0.9143782555580033,0.9546107878436862,0.9094553766225764,0.952574192325224,0.8033583794717553,0.6141445894440615,0.6540698961897738,0.09054462337742364,0.00023380093520374083,0.1379649652521697,0.11742051518063287,0.19981151272256442,1.1925278243133808,0.49474526931287655,0.16286286404747297,0.17831746025966175,0.15009877051194986,0.130530112452785,0.08514655359187842,0.16764769605263877,-0.08250114246076035,0.0836481548575975,0.13571705571021006,-0.052068900852612565,0.04043127666121077,0.07514023592042283,-0.034708959259212066
shallow,random,full_ce,101,5,0.4988586062746024,549253.0,0.6739407886711588,0.5048119286275483,0.9296116725807597,0.9627138349181303,0.9255612703706628,0.9613379561248153,0.8119245593560709,0.5713454342542315,0.655150169550926,0.07443872962933722,0.0001336005344021376,0.14593896166666345,0.12447213915307338,0.21232860635445985,1.2995645463290535,0.5000692177844344,0.15222371718194225,0.16859443644367894,0.1427524292083976,0.12974232016442913,0.08394492155709664,0.165419214824498,-0.08147429326740137,0.08251570769754557,0.1260184286658425,-0.04350272096829694,0.043065763864739925,0.06254130610119563,-0.0194755422364557
shallow,random,full_ce,101,6,0.4931826164227395,549253.0,0.6664688222003339,0.5476136258104163,0.9132858627991108,0.9539544152727104,0.9083096321486271,0.9519405220065751,0.8012664473384761,0.6214955350637577,0.6472628260798401,0.09169036785137287,0.0004008016032064128,0.14256912497857746,0.11847768109020956,0.20594813491504635,1.2022347753926146,0.4934051919239411,0.1651737298961802,0.18087657236282734,0.15234491208969272,0.12450111103547853,0.08316386073448848,0.17211012047271476,-0.08894625973822629,0.08233364223773015,0.1364944752236219,-0.05416083298589175,0.04014725454389871,0.0759486065620033,-0.035801352018104596
shallow,random,full_ce,101,7,0.48883519319260466,549253.0,0.6661101532444975,0.5514813920211249,0.9236107950252433,0.9591784546731226,0.9192587129534596,0.9579050548647919,0.8094757789215534,0.6090341497836979,0.6469123630642791,0.08074128704654034,0.0009018036072144289,0.15163109723808185,0.12071525265109866,0.216884640340647,1.3941163094964313,0.5131539532869335,0.15731411571716494,0.1735236767027217,0.1468618287018915,0.12482973503973138,0.08262312631883667,0.17192805501289934,-0.08930492869406267,0.08469321059693802,0.1306447119997524,-0.04595150140281437,0.04151456614711253,0.06699098593908454,-0.025476419791972002
shallow,random,full_ce,101,8,0.4845256928750702,549253.0,0.6595248455629737,0.538957305303084,0.920016822848487,0.9574037648315857,0.9154421322015817,0.9558363902675391,0.8039774020351277,0.6414086460805795,0.6399319870675296,0.0845578677984183,0.0006346025384101537,0.15278069295396032,0.12272945218009178,0.2190807368574456,1.357367631212295,0.5178688241135193,0.1620523693088613,0.1784835039590134,0.15090368190979384,0.1357362724086743,0.08585842953975673,0.1817486659153432,-0.09589023637558647,0.08365725813058827,0.13510713641982838,-0.05144987828924011,0.04115589719127615,0.07022628916000459,-0.02907039196872844
shallow,random,full_ce,211,1,0.5844394271821771,549253.0,0.6853799615113618,0.5333057921375542,0.9212002483372872,0.9582656504898568,0.9166649015141157,0.9565169341931958,0.8112217866811834,0.5886033549666192,0.6672488460716369,0.08333509848588423,0.0001336005344021376,0.1330969954536089,0.1163190599888699,0.16815595760201182,0.9147705683863495,0.44064989344568467,0.15475715805527387,0.16995228064298237,0.143198853715865,0.11674129552166924,0.08869136809448469,0.15872648852168308,-0.0700351204271984,0.08349886118054886,0.12770435482373332,-0.04420549364318446,0.040050759850196536,0.06793772633012474,-0.0278869664799282
shallow,random,full_ce,211,2,0.5219178597818985,549253.0,0.7032806375204141,0.5774756699322633,0.9356726317380151,0.9659662427826952,0.9319658856989907,0.9647840716996778,0.8227428889783033,0.6550120977274586,0.6861757745328925,0.06803411430100922,3.34001336005344e-05,0.12634961959357843,0.11944049157251985,0.1627190640053757,0.9656478852335839,0.43706996520726465,0.14070124939387374,0.15597693594755058,0.1318195804119413,0.11306339426366113,0.09524936595703619,0.1473838103751823,-0.05213444441814612,0.0846185637584137,0.11730295510447826,-0.03268439134606456,0.042650654616360764,0.056065237695561064,-0.0134145830792003
shallow,random,full_ce,211,3,0.5085014577986685,549253.0,0.6762439167378239,0.517683492197165,0.9234159849832408,0.9593272300526028,0.9190218615748114,0.9577918168463472,0.8132499959035272,0.5886421395801523,0.6575995594179233,0.08097813842518867,0.00036740146960587844,0.1449049032086622,0.11651739894822583,0.19851798383411742,1.0749998950713253,0.47663092162115744,0.1544863356837984,0.17007681341749611,0.14375542782652076,0.12556026342697924,0.08325307280979803,0.1624242380105343,-0.07917116520073626,0.08425443283878285,0.12643171725962352,-0.04217728442084066,0.040859130491777015,0.06653036032575152,-0.025671229833974504
