architecture,regime,recovery_seed,metric,raw_spread,recovered_spread,recovery_equalisation_index,recovery_rank_retention
deep,minimal_ce,101,awbir,0.26639642808797415,0.13921335046476016,0.47742035633155466,-0.49999999999999994
deep,minimal_ce,101,hsr_balanced_soc,0.25681716804459875,0.027768259800128564,0.8918753757330338,0.0
deep,minimal_ce,101,benign_to_attack_rate,0.9985971943887776,0.0009352037408149633,0.9990634825071911,0.9746794344808964
deep,minimal_ce,101,attack_to_benign_rate,0.11335552932431886,0.021755665658283158,0.8080758319601814,0.09999999999999999
deep,minimal_ce,101,fine_macro_f1,0.48459810108584245,0.07662897546111547,0.841871077725207,-0.09999999999999999
deep,minimal_ce,101,family_macro_f1,0.4695228402986228,0.13524085449643308,0.7119610743315106,-0.3
deep,minimal_ce,211,awbir,0.26639642808797415,0.055752970170077444,0.7907142728217598,-0.19999999999999998
deep,minimal_ce,211,hsr_balanced_soc,0.25681716804459875,0.03637412995468389,0.8583656605528522,0.0
deep,minimal_ce,211,benign_to_attack_rate,0.9985971943887776,0.006279225116900468,0.9937119539768546,0.6668859288553501
deep,minimal_ce,211,attack_to_benign_rate,0.11335552932431886,0.024047154606181627,0.787860770890312,0.7
deep,minimal_ce,211,fine_macro_f1,0.48459810108584245,0.06688249724566142,0.861983575470483,-0.09999999999999999
deep,minimal_ce,211,family_macro_f1,0.4695228402986228,0.08300539630009696,0.8232132940597641,-0.3
deep,minimal_ce,307,awbir,0.26639642808797415,0.09190019439695374,0.6550246748556072,0.6
deep,minimal_ce,307,hsr_balanced_soc,0.25681716804459875,0.017435316693764052,0.9321100032894365,-0.3
deep,minimal_ce,307,benign_to_attack_rate,0.9985971943887776,0.0016700066800267202,0.9983276473342698,0.8720815992723809
deep,minimal_ce,307,attack_to_benign_rate,0.11335552932431886,0.015339496604167419,0.8646780029558158,0.8999999999999998
deep,minimal_ce,307,fine_macro_f1,0.48459810108584245,0.06814704655042081,0.8593740949505926,0.49999999999999994
deep,minimal_ce,307,family_macro_f1,0.4695228402986228,0.0491049147132091,0.8954152801555346,0.7999999999999999
deep,minimal_ce,401,awbir,0.26639642808797415,0.03415191518257218,0.8718004012752981,0.6
deep,minimal_ce,401,hsr_balanced_soc,0.25681716804459875,0.016644424336325903,0.9351895963067569,0.19999999999999998
deep,minimal_ce,401,benign_to_attack_rate,0.9985971943887776,0.0013694054776219105,0.9986286708141012,0.6708203932499368
deep,minimal_ce,401,attack_to_benign_rate,0.11335552932431886,0.014694413581019541,0.870368797458678,0.39999999999999997
deep,minimal_ce,401,fine_macro_f1,0.48459810108584245,0.025278330422132456,0.947836505414505,0.3
deep,minimal_ce,401,family_macro_f1,0.4695228402986228,0.04650775698407439,0.9009467634109241,-0.7
deep,minimal_ce,503,awbir,0.26639642808797415,0.06680202145819786,0.7492382989604601,0.19999999999999998
deep,minimal_ce,503,hsr_balanced_soc,0.25681716804459875,0.023272699466366148,0.9093802815303819,-0.19999999999999998
deep,minimal_ce,503,benign_to_attack_rate,0.9985971943887776,0.001569806279225117,0.9984279884942137,0.8207826816681233
deep,minimal_ce,503,attack_to_benign_rate,0.11335552932431886,0.02449389866997359,0.7839196833540014,0.39999999999999997
deep,minimal_ce,503,fine_macro_f1,0.48459810108584245,0.017668728860888994,0.9635394178778279,0.3
deep,minimal_ce,503,family_macro_f1,0.4695228402986228,0.04365381028440807,0.907025161424216,-0.09999999999999999
deep,standard_ce,101,awbir,0.26639642808797415,0.03257271250637416,0.8777284187323359,0.49999999999999994
deep,standard_ce,101,hsr_balanced_soc,0.25681716804459875,0.018577231257726395,0.9276635927450914,-0.09999999999999999
deep,standard_ce,101,benign_to_attack_rate,0.9985971943887776,0.0011022044088176352,0.9988962472406181,0.6
deep,standard_ce,101,attack_to_benign_rate,0.11335552932431886,0.013265602825271089,0.8829734825963612,0.6
deep,standard_ce,101,fine_macro_f1,0.48459810108584245,0.032021407919642475,0.9339217222521263,0.09999999999999999
deep,standard_ce,101,family_macro_f1,0.4695228402986228,0.03916510451255728,0.9165853050138142,-0.3
deep,standard_ce,211,awbir,0.26639642808797415,0.006742338566763463,0.9746905819452771,0.49999999999999994
deep,standard_ce,211,hsr_balanced_soc,0.25681716804459875,0.012802114872381254,0.9501508603577544,-0.3
deep,standard_ce,211,benign_to_attack_rate,0.9985971943887776,0.0002004008016032064,0.9997993176801124,-0.6668859288553501
deep,standard_ce,211,attack_to_benign_rate,0.11335552932431886,0.01218340384315432,0.8925204274041484,0.09999999999999999
deep,standard_ce,211,fine_macro_f1,0.48459810108584245,0.030485671510749546,0.9370908151673726,-0.8999999999999998
deep,standard_ce,211,family_macro_f1,0.4695228402986228,0.04704985755385205,0.8997921857775274,-0.7
deep,standard_ce,307,awbir,0.26639642808797415,0.04108421757638675,0.8457778962305786,0.8999999999999998
deep,standard_ce,307,hsr_balanced_soc,0.25681716804459875,0.016255532514160148,0.9367038713263234,-0.7999999999999999
deep,standard_ce,307,benign_to_attack_rate,0.9985971943887776,0.0010354041416165665,0.9989631413472473,-0.19999999999999998
deep,standard_ce,307,attack_to_benign_rate,0.11335552932431886,0.014120578533562606,0.875431056449284,0.3
deep,standard_ce,307,fine_macro_f1,0.48459810108584245,0.05300397786173938,0.8906228114741411,0.09999999999999999
deep,standard_ce,307,family_macro_f1,0.4695228402986228,0.0648114212014177,0.8619632195950323,-0.09999999999999999
deep,standard_ce,401,awbir,0.26639642808797415,0.02582972693777571,0.90304026550519,0.7999999999999999
deep,standard_ce,401,hsr_balanced_soc,0.25681716804459875,0.020011178819232672,0.9220800580755663,-0.09999999999999999
deep,standard_ce,401,benign_to_attack_rate,0.9985971943887776,0.0007682030728122912,0.9992307177737642,0.6708203932499368
deep,standard_ce,401,attack_to_benign_rate,0.11335552932431886,0.015137306402882272,0.8664616848149218,0.8999999999999998
deep,standard_ce,401,fine_macro_f1,0.48459810108584245,0.05447114651931706,0.8875952126158497,0.3
deep,standard_ce,401,family_macro_f1,0.4695228402986228,0.047784818798880746,0.8982268492657589,0.09999999999999999
deep,standard_ce,503,awbir,0.26639642808797415,0.019314773956707984,0.9274961226194463,-0.39999999999999997
deep,standard_ce,503,hsr_balanced_soc,0.25681716804459875,0.029667566676923024,0.8844798153378478,-0.3
deep,standard_ce,503,benign_to_attack_rate,0.9985971943887776,0.0018036072144288577,0.9981938591210114,0.7826237921249264
deep,standard_ce,503,attack_to_benign_rate,0.11335552932431886,0.01614825740930806,0.8575432755193912,0.39999999999999997
deep,standard_ce,503,fine_macro_f1,0.48459810108584245,0.06872249822394683,0.8581866126384734,-0.8999999999999998
deep,standard_ce,503,family_macro_f1,0.4695228402986228,0.08856507474284336,0.8113721694848438,-0.8999999999999998
shallow,full_ce,101,awbir,0.44041205031948166,0.019249805741324358,0.9562913736639126,0.09999999999999999
