architecture,regime,method,metric,n_seeds,mean,sd,ci95_low,ci95_high,min,max
deep,minimal_ce,fisher,awbir,5,0.10117085318031607,0.06470301853126205,0.020831444494936832,0.1815102618656953,0.037705969499709904,0.1913747986179514
deep,minimal_ce,fisher,hsr_balanced_soc,5,0.1684729623688901,0.0035764567415767098,0.16403220479174113,0.17291371994603905,0.16387566385618285,0.1713833151571316
deep,minimal_ce,fisher,fine_macro_f1,5,0.5222232292342234,0.021594584768239514,0.49541001077134095,0.5490364476971058,0.49774161767822633,0.5463054288093414
deep,minimal_ce,fisher,family_macro_f1,5,0.5863929069985422,0.021285666587448415,0.5599632611191386,0.6128225528779457,0.55863471187563,0.6080380908911933
deep,minimal_ce,fisher,attack_to_benign_rate,5,0.07969721535952305,0.0029381140832290954,0.07604906487976201,0.08334536583928409,0.07730597924565724,0.08477161172549118
deep,minimal_ce,fisher,benign_to_attack_rate,5,0.00014696058784235136,0.00019984335740349485,-0.0001011777143257363,0.000395098890010439,3.34001336005344e-05,0.000501002004008016
deep,minimal_ce,fisher,ece15,5,0.21086180847257557,0.007057795540406298,0.20209839784336997,0.21962521910178118,0.20318370885015966,0.2214935827471882
deep,minimal_ce,fisher,nll,5,1.1684046900353318,0.05797015351494615,1.0964252374454775,1.240384142625186,1.1144389413262743,1.2544552573827894
deep,minimal_ce,fisher,brier,5,0.48667759172518166,0.012074503752486037,0.4716851151195435,0.5016700683308198,0.47703832394091017,0.5034912898113723
deep,minimal_ce,fisher,teacher_correction_binary,5,0.016170325878966524,0.0028704395588300315,0.012606204419747372,0.019734447338185676,0.011348140110295255,0.018374046204572392
deep,minimal_ce,fisher,teacher_degradation_binary,5,0.0025103185599350394,0.0005998696350743419,0.0017654820304475976,0.003255155089422481,0.0018698122723043843,0.0033572870789963824
deep,minimal_ce,fisher,teacher_correction_family,5,0.05577975905457048,0.0053625475664042495,0.0491212768027111,0.06243824130642986,0.047455362100889756,0.06223361547410756
deep,minimal_ce,fisher,teacher_degradation_family,5,0.006102105951173685,0.0017045433715039918,0.00398563581340031,0.00821857608894706,0.003925331313620499,0.008542511374539602
deep,minimal_ce,fisher,teacher_correction_fine,5,0.04293285607907467,0.006360920323892463,0.03503473031745476,0.05083098184069458,0.034069909495259926,0.050555936881546394
deep,minimal_ce,fisher,teacher_degradation_fine,5,0.010137404802522699,0.002891341378744564,0.0065473303060187334,0.013727479299026664,0.008384114424500185,0.015280754042308371
deep,minimal_ce,magnitude,awbir,5,0.07738098771128402,0.023874436108984473,0.04773695991734198,0.10702501550522606,0.05216144815319124,0.11395855899272385
deep,minimal_ce,magnitude,hsr_balanced_soc,5,0.1573233464359776,0.004879729686832349,0.15126436176287172,0.16338233110908346,0.15352415007291723,0.16562749771052684
deep,minimal_ce,magnitude,fine_macro_f1,5,0.5432624656302109,0.018542267504810722,0.5202391996244238,0.5662857316359979,0.5176859259715719,0.5672006379151764
deep,minimal_ce,magnitude,family_macro_f1,5,0.6349972424561827,0.032830221055510755,0.5942331389184837,0.6757613459938817,0.5888863759416806,0.6741109272070838
deep,minimal_ce,magnitude,attack_to_benign_rate,5,0.06590745850768227,0.004502429727202121,0.060316953610972994,0.07149796340439155,0.06168149073872597,0.0730984974379613
deep,minimal_ce,magnitude,benign_to_attack_rate,5,0.0023780895123580495,0.0022182064501394174,-0.0003761775773634432,0.005132356602079542,0.0009352037408149633,0.006312625250501002
deep,minimal_ce,magnitude,ece15,5,0.17339406813756503,0.00859878358122367,0.16271726813641393,0.18407086813871612,0.1680245425002141,0.18840308877835427
deep,minimal_ce,magnitude,nll,5,1.00989098257141,0.040374829922338255,0.9597590098232424,1.0600229553195775,0.9442109359465367,1.052283281121533
deep,minimal_ce,magnitude,brier,5,0.4455230299202073,0.014301676154689162,0.4277651535249605,0.46328090631545416,0.4287391915602537,0.4612951693206619
deep,minimal_ce,magnitude,teacher_correction_binary,5,0.02996797468561847,0.0026674764617676456,0.02665586519698562,0.03328008417425132,0.025592941686253874,0.032640695635708865
deep,minimal_ce,magnitude,teacher_degradation_binary,5,0.003391515385441682,0.001626416035241055,0.0013720531483815556,0.005410977622501808,0.0017824208515929817,0.0057605511485599534
deep,minimal_ce,magnitude,teacher_correction_family,5,0.07164931279392192,0.0034409017465566903,0.06737686897386602,0.07592175661397782,0.06779025330767424,0.07544246458371642
deep,minimal_ce,magnitude,teacher_degradation_family,5,0.009917833857985298,0.0033262339547384793,0.005787768906783591,0.014047898809187005,0.006432372695278861,0.01543550968315148
deep,minimal_ce,magnitude,teacher_correction_fine,5,0.06228641445745403,0.005262581723711938,0.055752056193515795,0.06882077272139227,0.05631466737550819,0.06846571616358946
deep,minimal_ce,magnitude,teacher_degradation_fine,5,0.02392667859802313,0.009932709302717715,0.011593591052214906,0.036259766143831355,0.014863824139331055,0.03941717205003887
deep,minimal_ce,random,awbir,5,0.11107067782827959,0.04216971811600504,0.05871005702923497,0.1634312986273242,0.07386831725064125,0.17823868564756504
deep,minimal_ce,random,hsr_balanced_soc,5,0.18031981618671175,0.007057641150143032,0.17155659725833772,0.18908303511508578,0.17071804796696605,0.18989828002760112
deep,minimal_ce,random,fine_macro_f1,5,0.5089346188969307,0.0312504476215711,0.47013206315747336,0.547737174636388,0.48454352331763295,0.5517161790660516
deep,minimal_ce,random,family_macro_f1,5,0.5840802496479259,0.031142717783497822,0.5454114581699365,0.6227490411259153,0.5514247472128546,0.6355651073002333
deep,minimal_ce,random,attack_to_benign_rate,5,0.08457904962902912,0.005852326282661104,0.07731242677810715,0.0918456724799511,0.07438866348425709,0.08855930816289984
deep,minimal_ce,random,benign_to_attack_rate,5,0.00029392117568470273,0.0003854786385104478,-0.00018471377183032419,0.0007725561231997297,3.34001336005344e-05,0.0009686038744154976
deep,minimal_ce,random,ece15,5,0.23952254939180348,0.006498826915878917,0.23145318997979902,0.24759190880380794,0.23287224198448672,0.25029253468044704
deep,minimal_ce,random,nll,5,1.6182997255476619,0.048531923863519365,1.5580393829227637,1.67856006817256,1.5452381114156342,1.672770279021668
deep,minimal_ce,random,brier,5,0.5390212703911226,0.01085220197151249,0.5255464819018596,0.5524960588803856,0.5275880511926891,0.5556189938138951
deep,minimal_ce,random,teacher_correction_binary,5,0.012266478289604244,0.004993824673439807,0.006065825979252355,0.01846713059995613,0.008835636764842432,0.0210303812632794
deep,minimal_ce,random,teacher_degradation_binary,5,0.0032302053880452182,0.0007467329993518411,0.002303013906479321,0.004157396869611116,0.002352285740815253,0.004189326230352861
deep,minimal_ce,random,teacher_correction_family,5,0.04394477590472879,0.008221407341801188,0.033736550393846126,0.054153001415611454,0.03214365693041276,0.054406621356642565
deep,minimal_ce,random,teacher_degradation_family,5,0.0101031764960774,0.002320044588157507,0.0072224606567347395,0.01298389233542006,0.008265771875620161,0.013318088385498122
deep,minimal_ce,random,teacher_correction_fine,5,0.028736848046346585,0.005999275900395753,0.021287763145533694,0.03618593294715948,0.020731793909182106,0.03450322528962063
deep,minimal_ce,random,teacher_degradation_fine,5,0.014272111394930934,0.005651904991340673,0.007254344445915049,0.02128987834394682,0.009483789801785334,0.023406335513870658
deep,minimal_ce,saber_v2,awbir,5,0.09734645851429294,0.052360835166703396,0.032331894571915626,0.16236102245667025,0.06308433727302881,0.18585185258063677
deep,minimal_ce,saber_v2,hsr_balanced_soc,5,0.1773087447861004,0.001726966261916107,0.17516443295256662,0.17945305661963418,0.17466449887392513,0.17941968455338433
deep,minimal_ce,saber_v2,fine_macro_f1,5,0.5124137047186837,0.018383083687256916,0.4895880915282499,0.5352393179091176,0.49276586717437676,0.5334107273190946
deep,minimal_ce,saber_v2,family_macro_f1,5,0.5766711433853836,0.022702661135197866,0.5484820663903885,0.6048602203803787,0.5388700727106507,0.5948319575478798
deep,minimal_ce,saber_v2,attack_to_benign_rate,5,0.08359736806126555,0.0019985345484315378,0.0811158596633117,0.08607887645921941,0.08059301423226455,0.0857286453449076
deep,minimal_ce,saber_v2,benign_to_attack_rate,5,4.008016032064128e-05,4.354844626053873e-05,-1.3992377578781105e-05,9.415269822006366e-05,0.0,0.0001002004008016032
deep,minimal_ce,saber_v2,ece15,5,0.2036237844109896,0.004587358444680744,0.1979278265833735,0.20931974223860572,0.19715214096332803,0.20813872429466013
deep,minimal_ce,saber_v2,nll,5,1.2228698595555598,0.04045802806544766,1.172634582668376,1.2731051364427437,1.1738833495308705,1.2851168048702328
deep,minimal_ce,saber_v2,brier,5,0.4950352952532838,0.00455586453112645,0.4893784422842906,0.500692148222277,0.49053898940061735,0.500446177364729
deep,minimal_ce,saber_v2,teacher_correction_binary,5,0.012193652105678075,0.001785984488973052,0.009976059464369885,0.014411244746986265,0.010801943730848989,0.014765508791030727
deep,minimal_ce,saber_v2,teacher_degradation_binary,5,0.002215372515034055,0.0005727751587143264,0.0015041782213930277,0.0029265668086750824,0.001727801213648355,0.003056879070300936
deep,minimal_ce,saber_v2,teacher_correction_family,5,0.044470580952675726,0.004757918545896934,0.038562844787849486,0.050378317117501965,0.03627108090442838,0.0484876732580432
deep,minimal_ce,saber_v2,teacher_degradation_family,5,0.008829810670128339,0.002662467043672223,0.005523921195596524,0.012135700144660153,0.005629464017492849,0.011714091684524254
deep,minimal_ce,saber_v2,teacher_correction_fine,5,0.0349030410393753,0.0011325844326012177,0.03349675172448832,0.03630933035426227,0.03344542496809303,0.03616548293773544
deep,minimal_ce,saber_v2,teacher_degradation_fine,5,0.010837628560972812,0.002088398203435142,0.008244539697853971,0.013430717424091652,0.008535228756146986,0.013494691881519081
deep,minimal_ce,taylor,awbir,5,0.07366500652373179,0.042762443916172024,0.020568419437813297,0.12676159360965028,0.033292313852184015,0.14204468335431084
deep,minimal_ce,taylor,hsr_balanced_soc,5,0.1664535651148014,0.002264208889212743,0.163642178452653,0.16926495177694978,0.16478016506054588,0.17025632996087414
deep,minimal_ce,taylor,fine_macro_f1,5,0.5365302732468835,0.017319738465846047,0.5150249775355376,0.5580355689582295,0.5139018192488813,0.5533404326533784
deep,minimal_ce,taylor,family_macro_f1,5,0.6047358174319406,0.017038908285613198,0.5835792184449988,0.6258924164188824,0.5846020943875344,0.62728182133049
deep,minimal_ce,taylor,attack_to_benign_rate,5,0.07927665974084994,0.0028504883950978303,0.07573731092335932,0.08281600855834055,0.07482192820129671,0.08229911440691837
deep,minimal_ce,taylor,benign_to_attack_rate,5,2.672010688042752e-05,2.794455666446478e-05,-7.977643075603529e-06,6.141785683645857e-05,0.0,6.68002672010688e-05
deep,minimal_ce,taylor,ece15,5,0.20436167563815077,0.002332580790129063,0.2014653940481458,0.20725795722815574,0.20078026248775305,0.20720368220798957
