architecture,regime,metric,ss_total,ss_method,ss_seed,ss_method_x_seed_residual,fraction_method,fraction_seed,fraction_method_x_seed_residual
deep,minimal_ce,awbir,0.04955108759900921,0.005130935192606867,0.023087441520097625,0.021332710886304722,0.10354838695224645,0.46593208421441923,0.43051952883333433
deep,minimal_ce,hsr_balanced_soc,0.0020556885842596857,0.0016775999538240797,8.443122741083857e-05,0.00029365740302476646,0.8160768934893089,0.04107199313034311,0.14285111338034753
deep,minimal_ce,benign_to_attack_rate,4.0947001997760836e-05,2.0500408521340166e-05,5.393374145306871e-06,1.50532193311138e-05,0.500657130464917,0.13171597143062647,0.36762689810445653
deep,minimal_ce,attack_to_benign_rate,0.0014185162128998305,0.0011174220722396282,0.00011761089172049335,0.00018348324893970757,0.7877400780321824,0.08291120725371542,0.1293487147141013
deep,minimal_ce,fine_macro_f1,0.01414933092639945,0.0044507574925626275,0.003856612284986547,0.005841961148850212,0.3145560391310462,0.2725649930054983,0.412878967863451
deep,minimal_ce,family_macro_f1,0.024204134382611674,0.010978105959597756,0.003385199510794322,0.009840828912219568,0.45356325436221595,0.13986038324205718,0.4065763623957257
deep,standard_ce,awbir,0.005966975444823729,0.0009635082524266693,0.0033643498842983654,0.001639117308098693,0.16147347367794176,0.5638283440929681,0.2746981822290898
deep,standard_ce,hsr_balanced_soc,0.0015979859159345477,0.0009910146467097818,0.00038602983538914564,0.00022094143383561606,0.6201648192438594,0.24157273949650826,0.13826244125962975
deep,standard_ce,benign_to_attack_rate,5.031215849646298e-06,1.358316722512047e-06,3.9223403386599535e-07,3.280665093268256e-06,0.2699778270509977,0.07796008869179603,0.6520620842572062
deep,standard_ce,attack_to_benign_rate,0.0009341931300197452,0.0005786736872041129,0.0002657091769461907,8.981026586944172e-05,0.6194368900913262,0.28442638722955993,0.09613672267911398
deep,standard_ce,fine_macro_f1,0.012465492077098243,0.002468386723833318,0.003283334605775766,0.006713770747489159,0.198017591970418,0.2633939025807051,0.5385885054488769
deep,standard_ce,family_macro_f1,0.01819848456433032,0.006369422597110973,0.006245935866695735,0.005583126100523621,0.3499974173451381,0.3432118671539274,0.30679071550093506
shallow,full_ce,awbir,0.0005111142320771572,0.0001014740453135577,0.00012208398184131096,0.00028755620492228797,0.1985349633117618,0.2388585059452645,0.5626065307429726
shallow,full_ce,hsr_balanced_soc,0.0011553535623606793,0.00024213646894480156,0.0003032941970327601,0.000609922896383116,0.20957780962743175,0.2625120196219877,0.527910170750579
shallow,full_ce,benign_to_attack_rate,0.0007005601494683868,0.00011627066200983574,0.0001371599132355113,0.0004471295742230396,0.1659681357811554,0.19578606253809008,0.6382458016807543
shallow,full_ce,attack_to_benign_rate,0.001065211967082894,0.0001015545412649694,0.0003068808038406145,0.0006567766219773099,0.09533740175965044,0.2880936502065539,0.6165689480337955
shallow,full_ce,fine_macro_f1,0.0049746392500251025,0.0020924275819803233,0.002159839871429241,0.0007223717966155286,0.420618958846064,0.43417015041208107,0.14521089074185298
shallow,full_ce,family_macro_f1,0.010769820042581186,0.0016267247042566432,0.007743659492562622,0.0013994358457619473,0.1510447433499333,0.7190147525163949,0.12994050413367414
shallow,minimal_ce,awbir,0.0034625743119322027,0.0010010698951048202,0.0011495185746711514,0.0013119858421562318,0.28911145434628904,0.3319837990797348,0.3789047465739763
shallow,minimal_ce,hsr_balanced_soc,0.001960882936723236,0.0007381437489045235,0.00029242268849137624,0.0009303164993273319,0.37643437814702496,0.1491280703273566,0.47443755152561623
shallow,minimal_ce,benign_to_attack_rate,0.004802834348277941,0.0012716446029444775,0.0014282530770737645,0.0021029366682596994,0.2647696153419129,0.2973771264015936,0.4378532582564936
shallow,minimal_ce,attack_to_benign_rate,0.0012901428943331787,0.0004427034662361098,0.0001402651237604816,0.0007071743043365873,0.3431429713566146,0.10872061100873545,0.5481364176346499
shallow,minimal_ce,fine_macro_f1,0.007278024096350417,0.0013536645523549522,0.003275711126278536,0.002648648417716908,0.18599341448096476,0.4500824788311912,0.36392410668784114
shallow,minimal_ce,family_macro_f1,0.006691393877816473,0.00027425200914558506,0.003410554090575008,0.003006587778095901,0.040985781759880296,0.5096926220233109,0.449321596216812
