architecture,method,regime,recovery_seed,target_flops,realised_flops,parameters,epochs_run,removed_groups,n,fine_accuracy,fine_macro_f1,binary_accuracy,binary_balanced_accuracy,binary_attack_recall,binary_attack_f1,family_accuracy,family_macro_f1,exact_attack_type_rate,attack_to_benign_rate,benign_to_attack_rate,same_family_attack_substitution_rate,cross_family_attack_substitution_rate,ece15,nll,brier,hsr_miss_sensitive,hsr_balanced_soc,hsr_alert_fatigue,awbir,teacher_correction_fine,teacher_degradation_fine,net_teacher_correction_fine,teacher_correction_family,teacher_degradation_family,net_teacher_correction_family,teacher_correction_binary,teacher_degradation_binary,net_teacher_correction_binary
shallow,random,minimal_ce,101,0.4,0.3997813382491371,18728,1,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.6545981542203684,0.4992190607475828,0.9399985070632295,0.9553021185389858,0.938125947164812,0.9672834199329308,0.8270177859747694,0.6026608858114592,0.6362713816137859,0.06187405283518803,0.02752171008684035,0.18236015659149685,0.11949440895952923,0.11196673357540135,0.7796802915446215,0.41948094565895133,0.14410329423174142,0.16167376418517515,0.13927552512230248,0.12301275277534107,0.08175649473011526,0.18257342244830707,-0.10081692771819181,0.07552621469523152,0.10393570904482997,-0.028409494349598455,0.04176945779085412,0.05085816554483999,-0.009088707753985868
shallow,random,minimal_ce,211,0.4,0.3997813382491371,18728,1,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.7113588819724244,0.5396771805004331,0.9420157923579844,0.9566521831671089,0.9402248740162484,0.9684169815250052,0.8375575554434842,0.5897587322039626,0.6962698796294335,0.05977512598375161,0.026920507682030727,0.13347441716267452,0.11048057722414036,0.07066991666304158,0.6640932577569618,0.33987145262501933,0.13014585263985815,0.1453119054424828,0.12414970878629702,0.13012518718954816,0.0839540248300874,0.12801022479622323,-0.04405619996613583,0.07755260326297717,0.09542232814386084,-0.017869724880883675,0.038801790795862746,0.045873213255093734,-0.007071422459230987
shallow,random,minimal_ce,307,0.4,0.3997813382491371,18728,1,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.6708893715646523,0.5207441031759621,0.9398437514223864,0.9592962290343403,0.9374635335529825,0.9671793903935076,0.8283759943049924,0.6108704995619734,0.653003102175374,0.0625364664470175,0.018871075484301936,0.16656621343967895,0.11789421793792954,0.09984181276112772,0.7358548464062923,0.3939509711818681,0.1413663952070661,0.15812275945693516,0.13556193593844731,0.12378018843311793,0.08388483995535755,0.16841055032926538,-0.08452571037390784,0.08005418268084107,0.10710546870021648,-0.027051286019375412,0.04088279900155302,0.050126262396381994,-0.009243463394828975
shallow,random,minimal_ce,401,0.4,0.3997813382491371,18728,1,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.7026488703748546,0.5370737010289276,0.9438710393935036,0.955823502572018,0.9424085281901281,0.9694653237444275,0.8307737964107615,0.5988111430163734,0.6872791553456201,0.05759147180987189,0.030761523046092185,0.13551172414324308,0.11961764870126494,0.08290345191630953,0.6984456599716105,0.36323181490998113,0.13277411927351027,0.14894156244936305,0.12741213976072957,0.1195652655689951,0.08624258765996727,0.13900879922367287,-0.0527662115637056,0.07887986046503159,0.1035333443786379,-0.024653483913606306,0.040178205672067334,0.045394381095779174,-0.00521617542371184
shallow,random,minimal_ce,503,0.4,0.3997813382491371,18728,1,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.7176929393194029,0.5525666563230397,0.9497171613081767,0.9651470405326272,0.947829151205535,0.9727110501572044,0.840801961937395,0.6100330976329313,0.7024280154742901,0.05217084879446499,0.01753507014028056,0.13020663838571342,0.1151944973455315,0.05758474040361284,0.6793393624149447,0.34344429010911953,0.12454172606552294,0.13987142537227834,0.1194968438952541,0.1298515795496365,0.08777922014080942,0.1255013627599667,-0.03772214261915728,0.07920211632890489,0.09382743471587775,-0.014625318386972855,0.040373015714069836,0.039743069223108475,0.0006299464909613611
shallow,random,full_ce,101,0.4,0.3997813382491371,18728,8,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.6661101532444975,0.5514813920211249,0.9236107950252433,0.9591784546731226,0.9192587129534596,0.9579050548647919,0.8094757789215534,0.6090341497836979,0.6469123630642791,0.08074128704654034,0.0009018036072144289,0.15163109723808185,0.12071525265109866,0.216884640340647,1.3941163094964313,0.5131539532869335,0.15731411571716494,0.1735236767027217,0.1468618287018915,0.12482973503973138,0.08262312631883667,0.17192805501289934,-0.08930492869406267,0.08469321059693802,0.1306447119997524,-0.04595150140281437,0.04151456614711253,0.06699098593908454,-0.025476419791972002
shallow,random,full_ce,211,0.4,0.3997813382491371,18728,5,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.7032806375204141,0.5774756699322633,0.9356726317380151,0.9659662427826952,0.9319658856989907,0.9647840716996778,0.8227428889783033,0.6550120977274586,0.6861757745328925,0.06803411430100922,3.34001336005344e-05,0.12634961959357843,0.11944049157251985,0.1627190640053757,0.9656478852335839,0.43706996520726465,0.14070124939387374,0.15597693594755058,0.1318195804119413,0.11306339426366113,0.09524936595703619,0.1473838103751823,-0.05213444441814612,0.0846185637584137,0.11730295510447826,-0.03268439134606456,0.042650654616360764,0.056065237695561064,-0.0134145830792003
shallow,random,full_ce,307,0.4,0.3997813382491371,18728,8,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.6923730958228722,0.5618013976374309,0.9358874689805973,0.9658752700874742,0.932218142045356,0.9649067208801722,0.8240592222527687,0.6435438772691509,0.6746644124063907,0.06778185795464392,0.00046760187040748166,0.13927823875004092,0.1182754908889244,0.18900585136694784,1.087564541960119,0.46253216426278904,0.14195522524835247,0.15753650867632948,0.1335464712982906,0.11533496724987123,0.09066677833348202,0.15370876444917006,-0.06304198611568804,0.08760261664478847,0.11897067471638753,-0.031368058071599064,0.04359375369820465,0.05679349953482275,-0.0131997458366181
shallow,random,full_ce,401,0.4,0.3997813382491371,18728,4,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.710068037862333,0.5662975080123699,0.933216568685105,0.9644628271099251,0.9293932560902577,0.9633912291049759,0.8247037339805153,0.6319089038033737,0.693379522561538,0.0706067439097423,0.00046760187040748166,0.12124479841636931,0.11476893511235035,0.13999987357813365,0.8714998488940932,0.4129117750561439,0.14012668114693957,0.15480807569553556,0.13061539946072212,0.10702122148788137,0.09066495767888387,0.13601200175511102,-0.04534704407622715,0.080431058182659,0.11115460452651146,-0.030723546343852465,0.042029811398390175,0.057900457530500514,-0.01587064613211034
shallow,random,full_ce,503,0.4,0.3997813382491371,18728,5,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.6956102196983903,0.5625324810869295,0.9250363675755982,0.9602628176634487,0.9207260361285006,0.9587213172605729,0.8184625300180427,0.6276458938670937,0.6780727615137692,0.07927396387149946,0.0002004008016032064,0.12993512582970193,0.11271814878502945,0.18417629461845736,1.0113231503179958,0.4571472303795007,0.1487177433107633,0.16347402745183004,0.13783047156774747,0.1202589172776182,0.08947242891709285,0.14927729115726268,-0.05980486224016983,0.08413609028990283,0.12110084059622797,-0.036964750306325136,0.0424704098111435,0.06652125705276075,-0.024050847241617254
