architecture,regime,metric,mean_pairwise_rank_correlation,min_pairwise_rank_correlation,max_pairwise_rank_correlation,n_seed_pairs
deep,minimal_ce,awbir,-0.06000000000000001,-0.7,0.8999999999999998,10
deep,minimal_ce,hsr_balanced_soc,0.71,0.19999999999999998,0.9999999999999999,10
deep,minimal_ce,benign_to_attack_rate,0.7113983487685724,0.36842105263157904,0.9473684210526317,10
deep,minimal_ce,attack_to_benign_rate,0.6199999999999999,0.3,0.9999999999999999,10
deep,minimal_ce,fine_macro_f1,0.4600000000000001,0.0,0.9999999999999999,10
deep,minimal_ce,family_macro_f1,0.4,-0.49999999999999994,0.9999999999999999,10
deep,standard_ce,awbir,0.12,-0.7999999999999999,0.7,10
deep,standard_ce,hsr_balanced_soc,0.5099999999999999,0.09999999999999999,0.8999999999999998,10
deep,standard_ce,benign_to_attack_rate,0.08617160241938246,-0.516185401208764,0.8944271909999157,10
deep,standard_ce,attack_to_benign_rate,0.37999999999999995,0.09999999999999999,0.8999999999999998,10
deep,standard_ce,fine_macro_f1,0.14999999999999997,-0.49999999999999994,0.7,10
deep,standard_ce,family_macro_f1,0.38,-0.19999999999999998,0.8999999999999998,10
shallow,full_ce,awbir,0.010000000000000004,-0.6,0.7999999999999999,10
shallow,full_ce,hsr_balanced_soc,0.08,-0.7,0.6,10
shallow,full_ce,benign_to_attack_rate,-0.13215986653882406,-0.675922588044844,0.7905694150420948,10
shallow,full_ce,attack_to_benign_rate,0.06999999999999999,-0.6,0.6,10
shallow,full_ce,fine_macro_f1,0.7499999999999999,0.39999999999999997,0.8999999999999998,10
shallow,full_ce,family_macro_f1,0.32999999999999996,-0.6,0.8999999999999998,10
shallow,minimal_ce,awbir,0.2799999999999999,-0.6,0.8999999999999998,10
shallow,minimal_ce,hsr_balanced_soc,0.18,-0.39999999999999997,0.7,10
shallow,minimal_ce,benign_to_attack_rate,0.22999999999999993,-0.7,0.9999999999999999,10
shallow,minimal_ce,attack_to_benign_rate,0.09,-0.7999999999999999,0.8999999999999998,10
shallow,minimal_ce,fine_macro_f1,0.14999999999999997,-0.7,0.9999999999999999,10
shallow,minimal_ce,family_macro_f1,0.03000000000000001,-0.6,0.6,10
