architecture,regime,metric,rei_mean,rei_sd,rrr_mean,rrr_sd
deep,minimal_ce,attack_to_benign_rate,0.8229806173237977,0.04173015812299591,0.4999999999999999,0.30822070014844877
deep,minimal_ce,awbir,0.7088396008489359,0.15111473471176393,0.13999999999999999,0.4878524367060187
deep,minimal_ce,benign_to_attack_rate,0.997631948625326,0.002209455735416159,0.8010500075053375,0.13279852766460365
deep,minimal_ce,family_macro_f1,0.8477123146763897,0.08315060809045895,-0.12,0.5585696017507576
deep,minimal_ce,fine_macro_f1,0.894920934287723,0.056283409260407105,0.18,0.2683281572999748
deep,minimal_ce,hsr_balanced_soc,0.9053841834824923,0.03166950529643364,-0.06,0.19493588689617927
deep,standard_ce,attack_to_benign_rate,0.8749859853568214,0.013678145749163945,0.45999999999999996,0.30495901363953803
deep,standard_ce,awbir,0.9057466570065656,0.049027804714157734,0.45999999999999996,0.5128352561983233
deep,standard_ce,benign_to_attack_rate,0.9990166566325506,0.0005815364433915428,0.23731165130390258,0.637505439757642
deep,standard_ce,family_macro_f1,0.8775879458273954,0.042037030511499,-0.38,0.41472882706655434
deep,standard_ce,fine_macro_f1,0.9014834348295926,0.033561803784968494,-0.2599999999999999,0.5899152481501049
deep,standard_ce,hsr_balanced_soc,0.9242156395685166,0.024616947549070196,-0.31999999999999995,0.2863564212655271
shallow,full_ce,attack_to_benign_rate,0.23800180198218035,0.19568109788718313,-0.48,0.2949576240750525
shallow,full_ce,awbir,0.9761925137188033,0.011310457861487027,-0.059999999999999984,0.6107372593840988
shallow,full_ce,benign_to_attack_rate,0.9823736345121274,0.031832536259358724,-0.22922064943744536,0.3908240268598179
shallow,full_ce,family_macro_f1,0.9332219491662391,0.012361300524981543,0.09999999999999999,0.31622776601683794
shallow,full_ce,fine_macro_f1,0.9426016154556022,0.019985751787822182,0.019999999999999997,0.2588435821108957
shallow,full_ce,hsr_balanced_soc,0.9595219638376256,0.016103974571864754,0.39999999999999997,0.3162277660168379
shallow,minimal_ce,attack_to_benign_rate,0.04721193312643908,0.14183107550296242,-0.48,0.34205262752974136
shallow,minimal_ce,awbir,0.9424732641268129,0.025562290291121115,0.4999999999999999,0.3872983346207416
shallow,minimal_ce,benign_to_attack_rate,0.916163673393816,0.034298585426572256,-0.24000000000000005,0.6841052550594826
shallow,minimal_ce,family_macro_f1,0.9325239680978583,0.027578899853704854,0.27999999999999997,0.6534523701081816
shallow,minimal_ce,fine_macro_f1,0.9286078944573302,0.02095631587367951,0.5199999999999999,0.5848076606885377
shallow,minimal_ce,hsr_balanced_soc,0.9393297047781941,0.014519905742607229,0.5,0.4183300132670377
