group_id,module_path,channel_index,magnitude,taylor,fisher,sbl_raw,sem_rank,saber_v2,random
conv.0:out:0,conv.0,0,1.2776561677455902,0.0182806692115264,0.0002004656437402552,0.5533301318116218,0.40625,0.0006500575422955529,0.5118216247002567
conv.0:out:1,conv.0,1,0.8839177340269089,0.01833064374040987,0.00030379775792048757,0.6999362669306539,0.515625,0.0008250730344520478,0.9504636963259353
conv.0:out:2,conv.0,2,1.0158759653568268,0.024976109508861553,0.0004478457319203599,0.9800631514048714,0.734375,0.0011751040187650379,0.14415961271963373
conv.0:out:3,conv.0,3,0.7124019861221313,0.0034511440480855526,9.164862933871975e-06,0.42187404638474796,0.3125,0.0005000442633042715,0.9486494471372439
conv.0:out:4,conv.0,4,1.5133421421051025,0.042538570685428566,0.0011670933375725668,1.8147672213318287,0.90625,0.001450128363582387,0.31183145201048545
conv.0:out:5,conv.0,5,0.8184707015752792,0.016110533714754637,0.0001576929796961328,0.2924129477818884,0.171875,0.0002750243448173493,0.42332644897257565
conv.0:out:6,conv.0,6,1.179456889629364,0.18472571216989309,0.017249788702611114,1.421325730956337,0.875,0.00140012393725196,0.8277025938204418
conv.0:out:7,conv.0,7,1.1455416195094585,0.008617799557339368,4.476903531371573e-05,0.1908246475880426,0.109375,0.000175015492156495,0.4091991363691613
conv.0:out:8,conv.0,8,0.9428868182003498,0.009398128902103054,7.208336049773223e-05,0.11285989933388836,0.015625,2.500221316521357e-05,0.5495936876730595
conv.0:out:9,conv.0,9,1.3592334985733032,0.019723915799113458,0.00030989876210156807,0.7993019050463259,0.578125,0.0009250818871129021,0.027559113243068367
conv.0:out:10,conv.0,10,1.6993330121040344,0.10593430871376767,0.006894295843358123,1.5244723555038633,0.890625,0.0014251261504171736,0.7535131086748066
conv.0:out:11,conv.0,11,1.6123064160346985,0.049449478366295804,0.0012384268490563954,2.314560771086029,0.984375,0.001575139429408455,0.5381433132192782
conv.0:out:12,conv.0,12,1.6010780036449432,0.10821843750309199,0.004772951081667998,1.2374589025874454,0.84375,0.0013501195109215328,0.32973171649909216
conv.0:out:13,conv.0,13,1.1293926537036896,0.01876884870871436,0.00025583901769152815,0.9280968500062752,0.671875,0.0010750951661041837,0.7884287034284043
conv.0:out:14,conv.0,14,1.2414921820163727,0.048698391605284996,0.0015326320780729929,2.274780336287629,0.953125,0.0015251350030780278,0.303194829291645
conv.0:out:15,conv.0,15,1.5418694615364075,0.019225735325017014,0.00023046786259044437,0.5219712533111872,0.359375,0.0005750509027999121,0.4534978894806515
conv.0:out:16,conv.0,16,0.9453262984752655,0.004822122148107155,1.0623231539508283e-05,0.28634712811200186,0.15625,0.0002500221316521357,0.13404169724716475
conv.0:out:17,conv.0,17,0.9969702512025833,0.0037995203175341884,7.6052628235456775e-06,0.12052153949129775,0.03125,5.000442633042714e-05,0.40311298644712923
conv.0:out:18,conv.0,18,0.8832171894609928,0.02090873138349707,0.00026912367625382406,0.6641374364517898,0.453125,0.0007250641817911935,0.20345524067614962
conv.0:out:19,conv.0,19,1.0367881506681442,0.057798351489145715,0.001989813513439831,2.017638117927487,0.9375,0.0015001327899128144,0.2623133404418495
conv.0:out:20,conv.0,20,1.0482618510723114,0.010237218328620656,4.417411036570229e-05,0.37326365549451873,0.265625,0.0004250376238086307,0.7503646726300526
conv.0:out:21,conv.0,21,0.9050288796424866,0.00800335506251031,2.58207589751272e-05,0.31798252875621036,0.203125,0.00032502877114777643,0.2804087579860399
conv.0:out:22,conv.0,22,0.7401400748640299,0.005285119371410474,2.6761366742973782e-05,0.12285551437181466,0.046875,7.500663949564071e-05,0.48519097443163506
conv.0:out:23,conv.0,23,1.3258416103199124,0.0081045146454926,3.01593358202068e-05,0.42747752915779325,0.328125,0.000525046476469485,0.9807371998012386
conv.0:out:24,conv.0,24,1.6457912921905518,0.027034542562569187,0.00046277945483405857,0.8040518606693094,0.59375,0.0009500841002781157,0.9616571936637868
conv.0:out:25,conv.0,25,1.4929648041725159,0.01463815572205931,8.004952170921342e-05,0.6005916224915139,0.4375,0.00070006196862598,0.7247899407735336
conv.0:out:26,conv.0,26,1.4858205616474152,0.02558656420733314,0.0005442624118515482,1.2322223138731818,0.828125,0.0013251172977563192,0.5412268555474342
conv.0:out:27,conv.0,27,2.0839056968688965,0.025650286648669862,0.00027033823118058353,0.3939082887244228,0.28125,0.0004500398369738443,0.2768912040453708
conv.0:out:28,conv.0,28,0.5680563729256392,0.008302647657274065,3.222190369481792e-05,0.415412012013159,0.296875,0.00047504205013905785,0.16065200877512686
conv.0:out:29,conv.0,29,1.4767702221870422,0.03339081309459289,0.0005383391874681287,1.2577049004896865,0.859375,0.0013751217240867465,0.9699254132161326
conv.0:out:30,conv.0,30,1.1846742182970047,0.008845873872633091,4.455968911241115e-05,0.2172545886113544,0.125,0.00020001770532170857,0.5160685855478787
conv.0:out:31,conv.0,31,1.3240713328123093,0.018516178465984013,0.00020919300974257072,0.8822373777407294,0.640625,0.0010250907397737563,0.11586561247077032
conv.0:out:32,conv.0,32,1.3749457597732544,0.013176532216675696,0.00014923718989776625,0.8486356944148338,0.609375,0.0009750863134433292,0.6234897555375004
conv.0:out:33,conv.0,33,1.553805023431778,0.011986197802980315,5.14937831800566e-05,0.3486106495059627,0.21875,0.00035003098431299,0.776683114342298
conv.0:out:34,conv.0,34,1.453343540430069,0.017391040671827795,0.000148356556279694,0.7510045474464699,0.546875,0.000875077460782475,0.6130033010530405
conv.0:out:35,conv.0,35,1.155568465590477,0.025551810031174682,0.0003455195499711294,1.1524979643811557,0.765625,0.001225108445095465,0.9172977047909027
conv.0:out:36,conv.0,36,0.6572567373514175,0.03411579555431672,0.0005822978775382681,1.1895905432515315,0.796875,0.001275112871425892,0.03959287666420286
conv.0:out:37,conv.0,37,1.3611119985580444,0.016575003696380007,0.00010850821411276801,0.45508118614944193,0.34375,0.0005500486896346986,0.5285892632600216
conv.0:out:38,conv.0,38,1.0201623272150755,0.023146713924256802,0.0003523180377221609,0.8876627225756291,0.65625,0.00105009295293897,0.4593358828854037
conv.0:out:39,conv.0,39,0.9610049724578857,0.023971972384606487,0.0005899727314414349,0.7277837498948709,0.53125,0.0008500752476172614,0.0623495791498756
conv.0:out:40,conv.0,40,0.8089917004108429,0.013477869283087784,7.649802386903714e-05,0.5272476248657041,0.375,0.0006000531159651257,0.641328169139375
conv.0:out:41,conv.0,41,1.7948019206523895,0.03250010726478649,0.0005839401801814859,1.0688520845889342,0.75,0.0012001062319302513,0.8526328384806567
conv.0:out:42,conv.0,42,1.0843397080898285,0.014192597739747726,0.00016804453013889996,0.6808103207806312,0.484375,0.0007750686081216207,0.592941018104284
conv.0:out:43,conv.0,43,1.17505344748497,0.08158141836756841,0.0028200343250318837,1.1605772852468956,0.78125,0.0012501106582606786,0.2600974477372232
conv.0:out:44,conv.0,44,1.0434454828500748,0.006864218848386372,2.9909790342731725e-05,0.27761783149433605,0.140625,0.00022501991848692215,0.8398815210314088
