architecture,method,target_flops,realised_flops,within_tolerance,removed_groups,parameters,removed_groups_file,raw_awbir,raw_fine_macro_f1,raw_family_macro_f1,raw_benign_to_attack_rate,raw_attack_to_benign_rate,raw_hsr_balanced_soc
shallow,random,0.4,0.4000744857617602,True,44,17175,shallow_random_r40_removed_groups.csv,0.42023307327911497,0.18761186180797884,0.30149352650650846,0.815,0.0009798865394533265,0.40267331510374776
shallow,magnitude,0.4,0.40536548157909813,True,26,17655,shallow_magnitude_r40_removed_groups.csv,0.48190962073174637,0.11694169814812069,0.33934718063451125,0.996,0.0007048306687295857,0.34611548978607043
shallow,taylor,0.4,0.4013511287457744,True,46,17063,shallow_taylor_r40_removed_groups.csv,0.3346305025775901,0.39282624230886276,0.5970008703348264,0.0945,0.038164002062919034,0.2764066269905099
shallow,fisher,0.4,0.40478266630378734,True,52,16644,shallow_fisher_r40_removed_groups.csv,0.23807105679552257,0.5395889790066178,0.6981417682453618,0.13225,0.022915592229671652,0.19358533054527907
shallow,saber_v2,0.4,0.4031076319257434,True,52,16667,shallow_saber_v2_r40_removed_groups.csv,0.17779286461402685,0.5533295066300429,0.6487113331110472,0.2095,0.015145263881725976,0.1964548817757761
deep,random,0.4,0.40063060106484405,True,123,106681,deep_random_r40_removed_groups.csv,0.29756143468723406,0.3950038328275602,0.5282881473643579,0.25925,0.039092315626611654,0.29004021232105515
deep,magnitude,0.4,0.4006186839056014,True,136,123608,deep_magnitude_r40_removed_groups.csv,0.476048178282363,0.0173974684248261,0.08722399349959759,1.0,0.0,0.5111372044394402
deep,taylor,0.4,0.40081669208993975,True,164,99680,deep_taylor_r40_removed_groups.csv,0.11724929716439823,0.6947649011304137,0.7889367068641916,0.04025,0.02688671136324566,0.14337783496863438
deep,fisher,0.4,0.40121064587336275,True,159,100583,deep_fisher_r40_removed_groups.csv,0.11886500845455036,0.6961216942366545,0.7891947681980472,0.0395,0.027093003266288464,0.14292102300144766
deep,saber_v2,0.4,0.4001087669957025,True,178,97117,deep_saber_v2_r40_removed_groups.csv,0.13502759638242082,0.6820097666849582,0.7712556765030213,0.038,0.02937940519167956,0.15262023483995496
