architecture,score,harm,n_groups,spearman,kendall,top_k,top_k_precision
deep,random,harm_awbir,576,0.025715595408534905,0.01682367149758454,116,0.21551724137931033
deep,random,harm_hsr_balanced_soc,576,0.03681863884926438,0.02427105417745727,116,0.19827586206896552
deep,random,harm_fine_macro_f1,576,0.028871599728731823,0.019818840579710145,116,0.21551724137931033
deep,random,harm_family_macro_f1,576,0.04269447165498707,0.02861111111111111,116,0.20689655172413793
deep,random,harm_benign_false_alert,576,-0.022414425151116846,-0.017027065374492188,116,0.19827586206896552
deep,magnitude,harm_awbir,576,-0.3295576193705574,-0.21344202898550724,116,0.11206896551724138
deep,magnitude,harm_hsr_balanced_soc,576,-0.307364768575831,-0.20379711942236275,116,0.1206896551724138
deep,magnitude,harm_fine_macro_f1,576,-0.2824780850475975,-0.1888768115942029,116,0.12931034482758622
deep,magnitude,harm_family_macro_f1,576,-0.29169203526486326,-0.194987922705314,116,0.11206896551724138
deep,magnitude,harm_benign_false_alert,576,0.16871182872705448,0.12113651318490484,116,0.2413793103448276
deep,taylor,harm_awbir,576,0.7770045033130157,0.5824148493831783,116,0.603448275862069
deep,taylor,harm_hsr_balanced_soc,576,0.5137700870495095,0.3558134791515445,116,0.5862068965517241
deep,taylor,harm_fine_macro_f1,576,0.5480851711143443,0.38416965214825166,116,0.603448275862069
deep,taylor,harm_family_macro_f1,576,0.5121922916661598,0.35381312437996826,116,0.5948275862068966
deep,taylor,harm_benign_false_alert,576,-0.125654973891009,-0.10228941459702588,116,0.31896551724137934
deep,fisher,harm_awbir,576,0.7525725176226855,0.5585403185792717,116,0.6206896551724138
deep,fisher,harm_hsr_balanced_soc,576,0.5115366277429448,0.35044308321519463,116,0.603448275862069
deep,fisher,harm_fine_macro_f1,576,0.5303495102929204,0.37100773464806686,116,0.6120689655172413
deep,fisher,harm_family_macro_f1,576,0.5063880611258402,0.3487660733084688,116,0.603448275862069
deep,fisher,harm_benign_false_alert,576,-0.13141812295999353,-0.10662136139984377,116,0.35344827586206895
deep,saber_v2,harm_awbir,576,0.7775461483183604,0.5787695319285944,116,0.5775862068965517
deep,saber_v2,harm_hsr_balanced_soc,576,0.5102415800799461,0.3571227758993444,116,0.5517241379310345
deep,saber_v2,harm_fine_macro_f1,576,0.523789487276824,0.372782825636697,116,0.5517241379310345
deep,saber_v2,harm_family_macro_f1,576,0.5050660273973938,0.35444482016379836,116,0.5431034482758621
deep,saber_v2,harm_benign_false_alert,576,-0.1727387732987001,-0.13726043188705986,116,0.33620689655172414
