module_path,channel_index
conv.3,33
conv.3,42
conv.3,62
conv.3,60
conv.3,4
conv.3,21
conv.3,0
conv.3,111
conv.3,103
conv.3,63
conv.3,121
conv.3,12
conv.3,5
conv.3,90
conv.3,52
conv.3,72
conv.0,45
conv.3,47
conv.3,113
conv.3,36
conv.3,65
conv.3,17
conv.3,29
conv.3,50
conv.3,96
conv.3,48
conv.3,53
conv.3,78
conv.3,92
conv.3,104
conv.3,37
conv.3,7
conv.3,57
conv.3,41
conv.3,34
conv.3,6
conv.3,127
conv.3,91
conv.3,94
conv.3,114
conv.3,70
conv.3,93
conv.3,64
conv.3,98
conv.3,73
conv.3,123
conv.3,116
conv.3,24
conv.3,101
conv.3,13
conv.3,77
conv.3,80
