architecture,score,harm,n_groups,spearman,kendall,top_k,top_k_precision
shallow,random,harm_awbir,192,0.10516473157366465,0.07198952879581152,39,0.3076923076923077
shallow,random,harm_hsr_balanced_soc,192,0.12116076904795216,0.08143118192460091,39,0.23076923076923078
shallow,random,harm_fine_macro_f1,192,0.1157732685891002,0.0806064572425829,39,0.23076923076923078
shallow,random,harm_family_macro_f1,192,0.10203150855871741,0.07188045375218151,39,0.23076923076923078
shallow,random,harm_benign_false_alert,192,-9.495983806244785e-05,-0.0020275872178346036,39,0.23076923076923078
shallow,magnitude,harm_awbir,192,-0.5287720749803326,-0.3414048865619546,39,0.0
shallow,magnitude,harm_hsr_balanced_soc,192,-0.43582882373895515,-0.2843273619376722,39,0.02564102564102564
shallow,magnitude,harm_fine_macro_f1,192,-0.4371100425901311,-0.27606893542757416,39,0.0
shallow,magnitude,harm_family_macro_f1,192,-0.45103830399045114,-0.29461169284467714,39,0.02564102564102564
shallow,magnitude,harm_benign_false_alert,192,-0.08798113782055492,-0.060553618262357764,39,0.15384615384615385
shallow,taylor,harm_awbir,192,0.39085215165404574,0.2655312997213515,39,0.3333333333333333
shallow,taylor,harm_hsr_balanced_soc,192,0.2819801886297374,0.19015649350093272,39,0.3333333333333333
shallow,taylor,harm_fine_macro_f1,192,0.3109068161871443,0.21563499874575215,39,0.3333333333333333
shallow,taylor,harm_family_macro_f1,192,0.22320771573423773,0.15634902187540103,39,0.3076923076923077
shallow,taylor,harm_benign_false_alert,192,0.21179834344860848,0.14338712572827267,39,0.3076923076923077
shallow,fisher,harm_awbir,192,0.6402256450537177,0.4615134884548326,39,0.6410256410256411
shallow,fisher,harm_hsr_balanced_soc,192,0.47381447884547995,0.32489844755212477,39,0.5384615384615384
shallow,fisher,harm_fine_macro_f1,192,0.5124165370545752,0.35549749666641467,39,0.5641025641025641
shallow,fisher,harm_family_macro_f1,192,0.43419897034357563,0.30079717546559354,39,0.5128205128205128
shallow,fisher,harm_benign_false_alert,192,0.21931327074005502,0.14327741866956703,39,0.48717948717948717
shallow,saber_v2,harm_awbir,192,0.7163135968899256,0.5217821058257972,39,0.7435897435897436
shallow,saber_v2,harm_hsr_balanced_soc,192,0.508864152303421,0.34859294028235877,39,0.6153846153846154
shallow,saber_v2,harm_fine_macro_f1,192,0.5497678794723986,0.38235633701651844,39,0.6923076923076923
shallow,saber_v2,harm_family_macro_f1,192,0.48655595897310805,0.3359538689319896,39,0.6153846153846154
shallow,saber_v2,harm_benign_false_alert,192,0.18653689373699084,0.1174962598737414,39,0.6153846153846154
