architecture,harm,vc_rho,fisher_rho,diff,ci_lo,ci_hi,p_two_sided
shallow,harm_awbir,0.7163135968899256,0.6402256450537177,0.07608795183620787,0.02337761460905048,0.13121076592491493,0.004
shallow,harm_hsr_balanced_soc,0.508864152303421,0.47381447884547995,0.03504967345794102,-0.02662866548874951,0.09862496176317855,0.254
shallow,harm_fine_macro_f1,0.5497678794723986,0.5124165370545752,0.03735134241782334,-0.024695828541806724,0.10089396616163147,0.262
shallow,harm_family_macro_f1,0.48655595897310805,0.43419897034357563,0.05235698862953242,-0.0068261594113283525,0.11601131013473323,0.092
deep,harm_awbir,0.7775461483183604,0.7525725176226855,0.02497363069567493,-0.0055901606958875414,0.054058370691524325,0.104
deep,harm_hsr_balanced_soc,0.5102415800799461,0.5115366277429448,-0.001295047662998705,-0.041354258657944655,0.04156214209767738,0.966
deep,harm_fine_macro_f1,0.523789487276824,0.5303495102929204,-0.006560023016096483,-0.0492883252840239,0.038452743690246226,0.741
deep,harm_family_macro_f1,0.5050660273973938,0.5063880611258402,-0.0013220337284464145,-0.043323365452635564,0.04111964452866069,0.964
