score,harm_awbir,harm_family_macro_f1,harm_fine_macro_f1,harm_hsr_balanced_soc
fisher,0.682419967444384,0.44626966901790555,0.4865843733043951,0.407486536751228
v_a,0.3919153553988063,0.2520618556701031,0.2899891481280521,0.23331162931649152
v_b,0.31542322300596853,0.25042051003798155,0.29757189365165493,0.2285706534482329
v_c,0.8498372219207814,0.6111638632664135,0.6763836136733586,0.6160623449067194
v_d,0.6550868149755833,0.42837764514378734,0.4718800868149756,0.38900419162818844
