module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,59,5,"8,17,23,37,45",conv.2,conv.3,conv_in
conv.3,64,59,128,61,67,"0,2,5,7,10,12,13,15,19,20,22,24,26,29,30,31,33,34,36,37,40,43,45,47,48,49,53,54,55,56,57,63,65,66,67,69,70,71,72,74,75,76,78,79,81,82,83,86,90,91,94,97,98,99,100,105,107,108,110,111,113,115,121,123,124,126,127",conv.5,head,linear_in
