module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,54,10,"5,8,17,18,21,23,37,45,46,61",conv.2,conv.3,conv_in
conv.3,64,54,128,113,15,"19,22,24,30,37,45,48,49,55,70,72,91,94,97,126",conv.5,head,linear_in
