module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,62,2,"5,30",conv.2,conv.3,conv_in
conv.3,64,62,128,67,61,"0,2,7,9,10,12,13,15,19,20,21,25,29,31,32,36,37,40,42,43,45,46,47,49,51,54,55,56,57,59,60,63,65,67,68,69,70,71,72,73,75,76,78,79,82,91,94,96,97,98,100,105,107,110,113,115,117,121,122,126,127",conv.5,head,linear_in
