method,score_column,budget,target_reduction_fraction,achieved_direct_cost_reduction,selected_groups,parameters_m0,parameters_student,parameter_reduction_fraction,flops_per_item_m0,flops_per_item_student,flops_reduction_fraction,pre_macro_f1,post_macro_f1,post_family_macro_f1,post_attack_to_benign,post_benign_to_attack,post_awbir,post_hsr_balanced_soc,post_ece15,epochs_run,pareto_semantic
fisher,fisher,0.25,0.25,0.25357393699296066,61,29730,15801,0.4685166498486377,2039680.0,1067548.0,0.47661005647944776,0.28669878022117395,0.5544542825699846,0.6483962057250102,0.06063780417590162,0.0017702070808283234,0.10285591383431515,0.14739000060081603,0.15357618504828785,5,True
magnitude,magnitude,0.25,0.25,0.250434041478582,32,29730,17250,0.4197780020181635,2039680.0,1024192.0,0.49786633197364294,0.002892139406181108,0.5407005042813273,0.6296991308435201,0.06928769354897721,0.004375417501670006,0.10868802816271207,0.16285828206673428,0.1550542899257318,4,False
random,random,0.25,0.25,0.25008138277723413,45,29730,17848,0.39966363942145977,2039680.0,1147146.0,0.43758530749921554,0.07713069335599766,0.5458905393060106,0.6350902830184809,0.0555233548938694,0.0008016032064128256,0.11481773212565938,0.1469992881240521,0.14903826344184784,4,True
saber_v2,v_c,0.25,0.25,0.2535196818081379,63,29730,15347,0.4837874201143626,2039680.0,1041692.0,0.4892865547536869,0.3920643067057715,0.5393786836032912,0.6329431815574433,0.08755991088226175,0.0013360053440213762,0.13234131175314637,0.1720715225952339,0.19599728694629948,6,False
taylor,taylor,0.25,0.25,0.2539537232867199,47,29730,17635,0.40682811974436595,2039680.0,1138332.0,0.4419065735801695,0.02869662974783431,0.5680627561033538,0.6354283742591432,0.08042548520834256,0.0002672010688042752,0.10705551451565849,0.16299264637607808,0.17118533347302733,6,True
fisher,fisher,0.4,0.4,0.405815958521418,94,29730,9114,0.6934409687184662,2039680.0,600772.0,0.7054577188578601,0.056673527416016514,0.5192073176153408,0.5753281235330786,0.07896393889619555,0.0005678022712090849,0.12191797418061749,0.1733539916941737,0.18308433674193902,6,False
magnitude,magnitude,0.4,0.4,0.4069553174026958,52,29730,9450,0.6821392532795156,2039680.0,389512.0,0.8090327894571697,0.004309720110543051,0.5599847293897833,0.6255314655444261,0.08554571135326865,0.0021376085504342017,0.11737922881178012,0.1777028072673249,0.17536921797940727,5,False
random,random,0.4,0.4,0.4064398931468796,71,29730,11920,0.5990581903800875,2039680.0,700086.0,0.6567667477251333,0.027491838867414582,0.5671815718346815,0.6140571226608595,0.07987090637053183,0.0004008016032064128,0.1250328572730438,0.17082801550469456,0.18071342477897887,6,False
saber_v2,v_c,0.4,0.4,0.40175372486505256,99,29730,7555,0.7458795829128826,2039680.0,504084.0,0.7528612331346094,0.1657996979871284,0.5589311382358662,0.6552167006521349,0.07234557964079466,0.0006680026720106881,0.10512176255024416,0.15614552856333966,0.1423033329227047,4,True
taylor,taylor,0.4,0.4,0.4025132974525711,71,29730,12063,0.5942482341069626,2039680.0,714532.0,0.6496842641983056,0.028691833333476625,0.5438272711822183,0.6232036512148721,0.08054102246621979,0.00033400133600534405,0.10962095633370206,0.16603168303131707,0.18547005690164853,6,False
fisher,fisher,0.55,0.55,0.5503404266233152,122,29730,4604,0.8451395896400942,2039680.0,289520.0,0.8580561656730468,0.015080238800628129,0.5374258644988188,0.6043405809133423,0.08027336115213754,0.002404809619238477,0.11201140545911208,0.16887154007351804,0.17182153342303388,7,False
magnitude,magnitude,0.55,0.55,0.5514526579121816,81,29730,5301,0.8216952573158426,2039680.0,113548.0,0.944330483213053,0.006695467978836238,0.5313029059211939,0.6055500916440233,0.07499138284618333,0.0003006012024048096,0.1175037983730679,0.16876193666670916,0.1638619605768707,8,False
random,random,0.55,0.55,0.5510457440260109,96,29730,7386,0.7515640766902119,2039680.0,369808.0,0.8186931283338563,0.003255897312093724,0.5506909369672652,0.6146062836423858,0.08279014775289661,0.0005344021376085504,0.1308540094107025,0.18410568535811364,0.19929980524418492,8,False
saber_v2,v_c,0.55,0.55,0.5539686188010985,133,29730,1172,0.9605785401950891,2039680.0,67922.0,0.9666996783809225,0.013269227035120675,0.4837986442782525,0.5243465140545391,0.05947665473423542,0.04422177688710755,0.16315286562796028,0.16129616042151795,0.08198331706194995,8,False
taylor,taylor,0.55,0.55,0.5510186164335995,97,29730,7429,0.7501177262024891,2039680.0,379020.0,0.8141767336052714,0.0014899236838168681,0.5586332749313387,0.6532338869197948,0.05320683287343086,0.001903807615230461,0.10414163639169513,0.1473306472609162,0.12642961424019852,4,True
