module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,31,33,"1,4,8,9,10,14,15,16,17,21,25,26,27,28,32,33,34,35,36,37,38,40,43,46,47,49,50,51,56,58,59,61,62",conv.2,conv.3,conv_in
conv.3,64,31,128,90,38,"4,6,9,10,11,19,20,21,24,26,33,34,38,43,44,47,50,58,60,63,64,66,71,75,81,85,88,90,92,96,98,99,108,110,111,123,125,127",conv.5,head,linear_in
