module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,32,32,"0,3,4,5,7,8,11,17,18,21,22,23,24,25,26,29,30,33,37,38,39,40,41,45,46,47,49,54,55,57,61,63",conv.2,conv.3,conv_in
conv.3,64,32,128,89,39,"0,2,7,12,19,22,24,26,30,36,37,40,43,45,48,49,53,54,55,56,63,70,72,75,76,82,90,91,94,97,98,107,110,111,113,121,124,126,127",conv.5,head,linear_in
