module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,45,19,"3,5,8,17,18,21,22,23,24,25,30,33,37,45,46,47,54,57,61",conv.2,conv.3,conv_in
conv.3,64,45,128,25,103,"0,1,2,5,7,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,47,48,49,51,52,53,54,55,56,57,59,60,62,63,65,66,67,69,70,71,72,73,74,75,76,77,78,79,81,82,83,85,86,87,88,90,91,94,95,96,97,98,99,100,101,102,103,104,105,107,108,109,110,111,113,114,115,116,117,118,121,122,123,124,126,127",conv.5,head,linear_in
