module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,63,1,5,conv.2,conv.3,conv_in
conv.3,64,63,128,97,31,"0,2,7,12,13,20,29,36,37,42,45,47,49,54,55,56,63,65,69,70,76,91,94,97,100,105,107,110,115,117,126",conv.5,head,linear_in
