module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,19,45,"1,3,4,8,9,10,12,14,15,16,17,19,21,25,26,27,28,29,30,32,33,34,35,36,37,38,39,40,42,43,46,47,48,49,50,51,53,54,56,57,58,59,60,61,62",conv.2,conv.3,conv_in
conv.3,64,19,128,77,51,"3,4,6,9,10,11,12,19,20,21,24,26,30,32,33,34,38,43,44,47,48,50,58,60,62,63,64,66,69,71,75,81,82,85,88,90,92,96,98,99,101,104,106,108,110,111,119,122,123,125,127",conv.5,head,linear_in
