module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,60,4,"5,17,30,45",conv.2,conv.3,conv_in
conv.3,64,60,128,33,95,"0,2,4,5,6,7,9,10,11,12,13,14,15,18,19,20,21,22,25,29,30,31,32,34,35,36,37,38,39,40,42,43,45,46,47,48,49,51,53,54,55,56,57,58,59,60,63,65,66,67,68,69,70,71,72,73,75,76,77,78,79,80,82,83,84,85,86,87,88,90,91,94,95,96,97,98,99,100,102,105,107,110,111,113,114,115,116,117,121,122,123,124,125,126,127",conv.5,head,linear_in
