module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,46,18,"4,8,15,17,25,27,28,32,35,36,38,43,47,49,50,51,58,59",conv.2,conv.3,conv_in
conv.3,64,46,128,106,22,"4,10,20,21,24,26,33,34,44,58,60,63,64,71,75,85,88,90,96,99,111,123",conv.5,head,linear_in
