module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,12,52,"0,1,2,3,5,6,7,8,9,13,14,16,17,18,19,20,21,22,23,28,29,30,31,32,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63",conv.2,conv.3,conv_in
conv.3,64,12,128,128,0,,conv.5,head,linear_in
