module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,4,60,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63",conv.2,conv.3,conv_in
conv.3,64,4,128,107,21,"2,7,12,20,25,29,36,42,43,45,47,55,57,60,72,79,82,85,86,91,100",conv.5,head,linear_in
