module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,20,44,"0,2,3,4,5,7,8,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,32,33,36,37,38,39,40,41,45,46,47,49,54,55,57,60,61,62,63",conv.2,conv.3,conv_in
conv.3,64,20,128,75,53,"0,2,5,7,12,15,19,20,22,24,26,29,30,36,37,40,43,45,48,49,53,54,55,56,57,63,65,66,70,71,72,74,75,76,81,82,86,90,91,93,94,97,98,99,107,110,111,113,115,121,124,126,127",conv.5,head,linear_in
