module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,32,32,"1,2,3,5,7,8,13,16,17,18,20,21,22,28,30,35,36,38,39,40,42,43,44,45,47,53,55,56,57,60,61,62",conv.2,conv.3,conv_in
conv.3,64,32,128,128,0,,conv.5,head,linear_in
