module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,48,16,"4,5,8,17,18,21,22,23,30,33,37,45,46,54,57,61",conv.2,conv.3,conv_in
conv.3,64,48,128,102,26,"0,2,7,19,22,24,30,36,37,45,48,49,54,55,56,63,70,72,82,91,94,97,110,124,126,127",conv.5,head,linear_in
